0,theta,r
GAN,3.82526,42.034
GBA,1.84662,41.2061
GCA,5.61117,40.89
GCG,6.19219,44.6601
GCK,5.02948,44.6825
GDA,2.28483,41.0304
GEM,5.26027,37.8983
GGH,6.08402,41.7237
GGN,5.31526,41.9918
GH1,2.53622,38.8377
GH2,5.76796,45.8863
GHR,1.58704,41.1467
GIF,0.433453,43.827
GIP,6.03707,42.7849
GK2,1.55753,47.4493
GLA,2.30123,43.2081
GLS,1.93393,40.5874
GML,6.11264,41.2596
GNE,5.41133,39.3946
GNS,2.28812,40.947
GP2,1.11835,45.1073
GP5,6.18927,45.9223
GP6,1.52962,45.5543
GP9,6.1766,45.5656
GPI,2.22607,40.9883
GPT,2.56591,46.9225
GRN,5.79198,37.7216
GRP,0.118001,46.5055
GSC,3.97911,44.5522
GSN,2.47629,39.4793
GSR,2.25716,41.5061
GSS,2.33686,41.5074
HAL,6.18053,40.6287
HBB,0.933462,39.931
HBD,0.194026,41.7169
HBM,1.23541,41.2387
HBZ,5.56958,40.6535
HCK,5.88504,37.5713
HDC,4.98403,49.0289
HDX,5.5643,41.9273
HFE,6.22371,45.4101
HGD,4.36477,47.1943
HGF,0.32931,42.8124
HGS,4.98667,35.8484
HJV,0.857736,45.8946
HK1,2.32211,40.6062
HK2,2.81947,40.9459
HK3,0.0998067,42.2785
HLF,4.07579,47.0105
HLX,4.28862,41.3811
HPD,4.54255,47.9523
HPN,0.611189,44.9018
HPR,2.00726,47.0349
HPX,6.2295,44.0257
HRC,5.4458,44.4339
HRG,5.34583,44.5094
HRK,1.32198,44.5176
HTT,2.21213,38.1642
HYI,5.08253,41.9842
ICK,1.33706,41.1804
ID1,3.99897,40.6503
ID2,4.21881,39.1891
ID3,4.74319,40.828
ID4,4.21,44.0689
IDE,2.01997,39.7361
IDS,6.09015,40.1691
IHH,6.21503,46.1341
IL2,1.62848,44.4606
IL3,1.57523,45.8063
IL4,1.62059,46.2154
IL5,1.58797,47.9622
IL6,6.13492,43.8617
IL7,2.23965,48.1486
IL9,1.70625,46.2094
ILK,2.78635,37.6246
INA,4.72577,41.5501
INS,5.46386,41.2362
IPP,2.31453,42.8039
ISX,4.90937,45.7519
ITK,1.53137,40.2651
IVD,5.149,44.895
IVL,2.05426,41.6031
IYD,1.1682,46.4629
JMY,5.57533,42.5997
JRK,5.21103,40.6886
JTB,4.71309,46.9674
JUN,4.05083,37.0748
JUP,2.41482,37.4601
KDR,1.60058,39.6089
KEL,0.408574,43.7003
KHK,2.1451,41.8266
KIN,2.22395,44.8305
KIT,1.53984,39.3303
KIZ,1.95389,43.7477
KMO,5.94789,46.5448
LAT,0.579227,38.5232
LBH,2.86059,58.5914
LBP,1.73872,45.5652
LBR,3.63272,41.5462
LCK,1.53448,36.6117
LEP,0.339788,42.9873
LHB,0.790501,44.6174
LIF,0.106453,44.0822
LOR,2.05069,44.9635
LOX,6.20555,45.0163
LPA,6.09227,44.3947
LPL,1.43787,42.1406
LPO,3.73894,48.8528
LPP,2.74649,39.7927
LSR,0.149759,40.3017
LSS,0.555802,42.7916
LTA,1.08466,42.9204
LTB,1.08388,46.9628
LTF,1.15812,40.7326
LTK,1.59883,44.3878
LUM,6.2308,43.0659
LXN,1.79632,40.737
LY9,1.82232,46.6236
LYN,1.53874,37.0107
LYZ,1.23628,42.4709
MAF,3.99749,42.2504
MAG,1.63389,45.6538
MAK,3.72014,46.2209
MAL,0.495303,39.0463
MAX,4.04653,38.5204
MAZ,4.05335,43.6795
MBP,3.96659,39.5187
MCC,2.46749,35.7722
MCU,0.867566,40.8248
MDK,4.38405,39.9702
ME1,1.99427,41.1276
ME2,1.4674,44.8735
MET,1.61197,38.8221
MFF,0.586293,38.2163
MGA,4.12059,40.9674
MGP,1.4042,41.7899
MIA,6.13812,58.1342
MIF,2.18038,39.6517
MIP,0.498252,40.5823
MKX,4.25172,46.9558
MLN,0.76332,46.3991
MLX,4.08461,39.5936
MMD,0.571257,42.3745
MME,0.0601509,41.0111
MN1,4.94059,47.9934
MNT,4.4057,45.0434
MOK,2.02751,44.0599
MOS,5.75757,38.5496
MPG,2.96239,40.0101
MPI,2.20701,42.1095
MPL,1.62494,44.5525
MPO,1.12847,43.0959
MPZ,3.27489,47.6078
MR1,0.102452,41.5698
MSC,4.75083,43.9788
MSN,2.24938,37.6228
MT3,0.638258,45.6824
MTR,2.579,41.8602
MUT,1.95791,43.8483
MVD,2.2822,40.9154
MVK,5.87356,42.906
MVP,1.59598,40.941
MX1,4.64967,44.2751
MX2,4.45454,46.5483
MYB,3.99747,40.2548
MYC,3.14524,35.793
NBN,3.65296,40.9094
NCL,3.42652,37.6167
NDN,5.58275,39.9546
NDP,0.00609124,58.0422
NEB,2.51236,42.1739
NES,3.95409,38.9467
NF1,1.02003,40.9941
NF2,1.73884,39.9892
NGB,4.7855,42.3221
NGF,6.18101,43.3648
NHS,3.47988,42.1313
NIN,4.74521,41.8759
NLK,4.01322,39.3697
NLN,3.99439,41.6233
NMB,2.08889,45.1617
NMI,3.84244,39.465
NMS,0.288736,46.7681
NMU,0.069965,41.1918
NNT,1.13541,40.352
NOG,0.939273,43.6306
NOV,5.43316,41.8485
NPB,1.81085,41.1234
NPL,4.28368,46.26
NPW,0.928979,46.7372
NPY,1.09252,42.8445
NRK,2.27468,58.1598
NRL,1.97354,46.5352
NRM,0.533756,39.9997
NSF,1.12904,39.7215
NTM,6.09354,41.1028
NTS,1.117,44.5612
NVL,3.7329,40.9465
NXN,2.58346,43.6839
NYX,0.879817,42.4124
OAF,6.16706,41.5297
OAT,2.08997,41.0814
OCM,5.8306,46.1248
OGA,1.84232,42.6036
OGN,6.09852,44.283
OGT,2.57184,38.8848
OMD,2.83796,45.6962
OMG,5.64325,46.9454
OMP,5.13495,58.304
OS9,6.06274,38.8104
OSM,6.01018,42.9745
OTC,1.93648,42.9551
OTP,1.21218,43.7391
OXT,1.63025,44.9107
PAH,1.72209,45.8033
PAM,6.09281,41.4126
PBK,4.22962,40.327
PDC,1.61708,45.125
PDF,6.13523,39.8676
PF4,0.734851,42.9815
PGC,1.74057,46.8796
PGD,2.22831,40.0828
PGF,6.16995,45.7187
PGP,2.19652,44.765
PGR,4.04476,41.6798
PHB,1.346,38.6477
PI3,4.49269,57.9816
PIP,0.886506,44.9189
PIR,2.23396,39.9561
PKM,2.14024,37.9242
PLG,6.05436,39.8535
PLN,0.547403,39.5185
PML,4.07046,37.7521
PNN,4.12769,38.8567
PNP,2.31395,41.0657
POR,1.28903,41.6354
PPL,4.69083,39.0872
PPY,1.09621,45.5998
PRL,2.08649,44.7999
PSD,1.3408,44.0935
PTH,0.243723,45.2374
PTN,2.99415,38.7319
PTS,4.63639,42.4605
PVR,0.397613,38.0777
PXK,1.73993,42.0072
PXN,1.51499,38.3647
PYY,1.04695,45.3144
PZP,6.18986,44.7366
QKI,4.77421,40.9684
RAN,2.15383,38.7274
RB1,4.03173,37.0608
RD3,1.41991,42.7621
RDX,2.20386,39.2027
REL,4.57626,35.6249
REN,6.18132,43.0358
RET,1.55233,39.2496
RFK,2.18028,44.005
RGN,1.84069,46.6691
RGR,2.85802,46.9562
RHD,0.470937,44.7829
RHO,1.18327,42.6723
RLF,4.2364,45.0118
RP1,3.51465,58.4167
RP2,1.05478,40.2495
RP9,4.5628,43.5129
RPE,2.02074,40.5554
RRH,0.399089,46.9172
RYK,0.16883,41.5023
SAG,1.19601,44.8915
SCD,0.590725,40.1125
SCT,4.99117,44.8608
SCX,4.51899,45.3664
SDS,4.98563,46.4161
SET,4.0979,37.4333
SF1,3.52171,38.079
SFN,3.00633,38.6495
SHB,1.51771,42.5444
SHD,4.51867,46.8341
SHE,4.64512,48.3732
SHF,1.52009,47.4107
SHH,0.294666,42.3298
SKI,4.06454,41.7632
SLA,1.54982,42.1758
SLK,2.83466,41.5531
SLN,0.0167591,44.6882
SMO,1.1821,39.6447
SMS,2.35883,40.1438
SNN,0.275763,45.0739
SON,3.79434,39.9818
SP1,4.02855,37.3005
SP2,4.59958,43.9915
SP3,4.02865,41.4731
SP4,4.84493,41.2606
SP6,2.64587,43.9201
SP7,4.51756,44.3356
SPN,0.959239,41.5863
SPR,2.17531,39.9078
SPX,0.780833,58.0387
SRC,1.61036,33.9656
SRF,3.97205,39.2728
SRI,2.23648,41.3959
SRL,0.88656,46.1953
SRM,2.4204,44.0632
SRR,5.69924,44.2499
SRY,3.73165,45.7118
SSB,3.64665,39.4469
SST,1.283,44.551
ST5,2.46579,43.6089
ST7,0.236325,41.2022
STH,4.86085,42.7449
STS,0.129252,41.6848
SYK,1.54356,37.1983
SYP,0.789098,38.8335
TAT,4.04385,43.0378
TAZ,6.14617,38.3143
TBP,3.59635,39.226
TDG,4.04487,42.592
TDH,1.73976,58.0453
TEC,1.54702,40.8898
TEF,4.07209,47.1069
TEK,1.57933,41.9247
TES,2.65919,40.0134
TFG,4.85468,37.6305
TK1,2.98402,37.115
TK2,5.64891,43.6844
