0,theta,r
NDC1,0.221328,40.5777
NDE1,4.58392,40.5181
NEBL,5.26712,41.1386
NEFH,4.42645,41.2234
NEFL,5.02825,39.4708
NEFM,4.42695,40.8462
NEK1,4.36608,40.6289
NEK2,2.9987,38.189
NEK3,3.069,40.3806
NEK4,0.00117566,39.6644
NEK6,5.04336,36.9088
NEK7,0.743709,41.712
NEK8,5.35941,42.5282
NEK9,2.9452,40.1031
NEMF,3.30306,41.6174
NENF,3.33039,40.8135
NEO1,1.41372,45.1872
NET1,4.16011,43.5775
NEU1,0.595847,41.4694
NEU2,2.07041,41.8423
NEU3,5.77802,44.1611
NEU4,5.6113,41.1547
NEXN,2.45831,40.9672
NFE2,1.49328,42.7069
NFE4,4.14998,47.0547
NFIA,3.79168,40.8747
NFIB,2.70743,43.7336
NFIC,3.45488,43.5546
NFIX,4.70165,43.9736
NFS1,1.35783,41.2609
NFU1,0.358594,41.4355
NFX1,4.40967,45.4563
NFYA,4.59943,39.8498
NFYB,3.1377,41.9045
NFYC,4.7971,38.874
NGDN,3.74517,42.5055
NGEF,2.72673,42.5833
NGFR,1.63294,40.0376
NGRN,3.69991,41.2246
NHP2,3.72747,42.9121
NID1,6.09944,43.2022
NID2,6.06903,40.7972
NIFK,3.76344,37.8828
NINL,5.22041,39.5914
NIP7,3.78402,41.9879
NIT1,2.01375,40.563
NIT2,2.16049,41.66
NKAP,4.15732,40.0391
NKD1,5.45095,43.0296
NKD2,2.96918,43.0502
NKG7,0.490387,40.4371
NKRF,3.81645,42.0355
NKTR,4.32004,42.1586
NLE1,3.78056,41.9959
NMBR,1.40648,45.7485
NMD3,2.60741,39.743
NME1,2.25756,39.8692
NME2,2.21031,38.1627
NME3,0.932901,41.7841
NME4,5.74454,39.4142
NME5,4.25768,46.0326
NME6,3.10641,45.5502
NME7,4.64229,38.3208
NME8,5.02515,47.1757
NMT1,2.67582,39.1037
NMT2,2.00389,41.2417
NNAT,3.35171,58.0516
NNMT,2.20503,45.8576
NOA1,3.68002,41.7495
NOB1,3.3045,41.565
NOCT,0.707921,40.9251
NOD1,1.80074,41.3716
NOD2,1.80042,39.9684
NOL3,2.56422,41.03
NOL4,4.60614,42.8241
NOL6,3.70044,40.9366
NOL7,4.08649,41.9282
NOL8,3.75327,42.205
NOL9,3.84613,41.3699
NOM1,3.64718,43.9891
NONO,2.29485,39.0243
NOP2,3.76515,38.3358
NOP9,1.04722,39.5464
NOS1,5.99247,40.8947
NOS2,2.2885,43.2742
NOS3,1.71268,39.9852
NOTO,5.11477,41.3565
NOX1,0.346257,43.5604
NOX3,0.48583,48.6395
NOX4,2.3963,45.5897
NOX5,1.56893,43.5105
NPAT,4.3161,42.1189
NPC1,0.247893,43.7252
NPC2,1.33931,42.0319
NPFF,0.815857,45.754
NPM1,3.38979,35.5638
NPM2,4.51411,43.7417
NPM3,3.42776,41.6405
NPNT,6.14498,58.0191
NPPA,5.64321,39.9272
NPPB,5.41229,43.7441
NPPC,4.47187,46.998
NPR1,1.82515,43.4118
NPR2,4.47327,40.8589
NPR3,4.56921,45.6026
NPTN,3.39485,44.4462
NPVF,0.927063,46.0738
NQO1,2.25679,42.7046
NQO2,4.64065,44.022
NRAP,1.46935,45.9004
NRAS,1.46992,39.5486
NRDC,2.72471,40.3846
NREP,3.2336,44.8627
NRF1,4.60233,39.779
NRG1,0.176369,38.7319
NRG2,1.559,47.5612
NRG3,1.55311,49.4212
NRG4,0.564178,45.022
NRGN,1.73186,43.2723
NRN1,0.21205,41.5142
NRP1,6.1689,40.0671
NRP2,6.10809,42.0075
NRTN,5.99348,45.5923
NSA2,3.76513,39.9067
NSD1,3.71819,42.3375
NSD2,3.77803,41.2994
NSD3,4.38995,44.3566
NSG1,0.522927,41.3767
NSG2,0.399979,41.83
NSL1,3.44198,42.418
NSMF,5.57766,40.9949
NT5C,2.49286,45.0438
NT5E,0.852241,39.4991
NTF3,1.44141,42.8945
NTF4,5.62702,43.5385
NTN1,1.41334,45.0512
NTN3,1.41372,57.9532
NTN4,5.38971,43.0086
NUB1,2.91298,44.0132
NUDC,3.07815,39.7885
NUF2,3.44612,41.0584
NUMB,2.43013,40.2477
NUS1,0.338447,41.6109
NXF1,4.49914,37.9301
NXF2,3.79973,39.9682
NXF3,2.72029,44.7143
NXF5,2.80263,44.4139
NXT1,2.72022,42.8391
NXT2,5.03162,41.6307
OAS1,5.83643,43.271
OAS2,1.80122,44.9007
OAS3,1.8919,45.2738
OASL,0.993087,43.7301
OAZ1,3.16614,42.5295
OAZ2,2.94971,45.0762
OAZ3,2.04385,40.757
OCA2,0.110872,46.0881
OCLN,0.811886,39.0843
OCM2,2.25716,58.0729
OCRL,1.39712,40.7454
ODAM,4.90324,42.8907
ODC1,3.7982,43.7411
ODF1,2.87125,41.0878
ODF2,5.77844,41.7374
ODF3,4.61669,47.829
ODF4,0.461499,41.626
ODR4,5.9334,45.8858
OFD1,4.66554,39.0735
OGDH,1.8637,40.9878
OGFR,3.13074,43.2896
OGG1,2.14291,43.7732
OIP5,5.07276,37.3563
OIT3,5.40816,44.3798
OLA1,2.18829,41.3914
OLR1,6.21427,58.1868
OMA1,0.0807715,41.6792
OOEP,5.16455,44.0152
OPA1,1.30892,40.8321
OPA3,0.244509,45.0813
OPN3,1.02758,45.4685
OPN4,0.78105,45.2681
OPTC,3.03838,58.363
OPTN,1.97402,39.5339
ORC1,3.11912,40.0075
ORC2,3.1103,40.455
ORC3,3.11072,41.3212
ORC4,3.11462,40.8782
ORC5,3.11157,41.4737
ORC6,3.13376,41.5037
ORM1,6.15197,42.79
ORM2,6.16226,46.951
OSBP,2.64173,40.6254
OSMR,0.95254,42.4445
OSR1,2.13347,45.7903
OSR2,4.94929,46.8751
OST4,1.08204,46.3438
OSTC,0.253152,43.1803
OSTN,4.56921,58.0743
OTOF,2.01313,57.9853
OTOR,0.537857,48.5281
OTOS,5.52422,45.7202
OTX1,5.37656,37.5409
OTX2,3.08178,40.5854
OXR1,2.60129,43.5812
OXSM,3.54715,44.4629
OXTR,1.63095,47.7585
P3H1,2.73346,39.1798
P3H2,4.33469,42.954
P3H3,6.06689,41.3557
P3H4,6.08161,42.0482
P4HB,2.10389,37.8968
PAEP,0.653438,40.8963
PAF1,3.97471,40.9405
PAG1,1.42649,40.2432
PAK1,3.50894,36.5341
PAK2,3.20954,37.4862
PAK3,1.85176,42.5218
PAK4,1.65287,39.9372
PAK5,4.69776,39.2127
PAK6,3.07425,41.5168
PALM,2.50536,42.6984
PAN2,5.55346,45.1067
PAN3,5.55171,44.7176
PARG,3.85224,45.4195
PARL,0.234304,43.3425
PARN,3.31761,43.4718
PASK,6.048,40.634
PATJ,1.84733,40.4474
PAWR,1.89743,40.6045
PAX1,5.74498,47.6313
PAX2,2.88943,42.6118
PAX3,3.9915,42.0559
PAX4,4.64125,42.7361
PAX5,4.74383,39.8334
PAX6,4.53281,37.6579
PAX7,5.08331,43.4786
PAX8,4.09644,41.8048
PAX9,4.90267,42.414
PAXX,1.10199,45.6968
PBLD,4.8828,42.9189
PBX1,4.90119,41.0329
PBX2,4.94595,40.4164
PBX3,0.716662,38.8859
PBX4,5.23198,39.3595
PCCA,1.36754,42.2679
PCCB,1.36903,45.0595
PCK1,1.56548,47.7276
PCK2,1.25599,40.9052
PCLO,2.83646,47.344
PCM1,4.74065,38.1376
PCNA,3.24502,36.5191
PCNP,2.63621,43.383
PCNT,4.66646,40.1935
PCP2,1.20436,43.1758
PCTP,0.751734,46.1198
PDCL,2.79685,40.3483
PDHB,1.86204,39.9148
PDHX,1.86159,41.6811
PDK1,1.7177,37.7495
PDK2,1.8583,41.8723
PDK3,1.86141,40.7489
PDK4,1.85697,43.548
PDP1,1.85419,41.5343
PDP2,1.80856,43.2822
PDPN,2.57464,46.2352
PDPR,2.01076,41.959
PDX1,3.1248,43.098
PDXK,2.27077,42.7609
PDXP,2.27299,47.3551
PDYN,2.32969,44.1405
PECR,4.548,43.5812
PEF1,4.86019,40.2878
PEG3,5.77183,45.8409
PELO,1.09767,41.6721
PEMT,0.553543,46.745
PENK,4.5555,43.1064
PEPD,2.28039,41.1534
PER1,4.40791,40.2656
PER2,4.38343,42.4314
PER3,4.50949,42.9634
PERP,0.498887,46.4382
PES1,3.71498,39.0488
PEX1,2.05168,43.6721
PEX2,1.03153,46.001
PEX3,1.09568,43.6227
PEX5,1.20913,39.9994
PEX6,2.05507,43.2747
PEX7,2.85841,41.685
PFAS,2.38438,39.455
PFKL,2.92158,40.821
PFKM,2.20261,40.209
PFKP,2.14384,40.021
PFN1,2.27854,40.5563
PFN2,2.52001,40.4813
PGA4,0.518958,44.2996
PGK1,2.15614,39.5308
PGK2,2.24264,41.1191
PGLS,5.3788,42.3693
PGM1,2.0262,40.625
PGM2,2.21882,44.2187
PGM3,2.29095,44.2007
PGM5,2.26358,44.5277
PGS1,2.09979,46.1788
PHAX,2.99569,40.2465
PHB2,1.50652,37.4099
PHC1,4.39094,40.9951
PHC2,4.38029,38.8957
PHC3,4.20127,43.1077
PHEX,5.49691,46.5598
PHF1,4.85164,39.4375
PHF2,2.7117,46.7814
PHF3,3.44963,44.4554
PHF6,3.70202,44.2539
PHF7,2.56202,43.7345
PHF8,3.6908,40.9155
PHIP,3.49273,42.6302
PHKB,4.64283,42.5155
PHYH,2.62259,42.5811
PI16,0.576689,45.4143
PID1,5.45111,42.6445
PIF1,3.15221,58.1235
PIFO,1.47258,43.0742
PIGA,0.290519,41.1582
PIGB,0.0247801,44.2099
PIGC,3.04267,47.7004
PIGF,0.560109,44.2915
PIGG,0.323,44.6274
PIGH,0.77398,45.1578
PIGK,0.0372075,43.6867
PIGL,4.91731,49.3421
PIGM,0.193192,42.7679
PIGN,0.0411158,43.3469
PIGO,0.179692,42.1223
PIGP,0.649871,41.764
PIGQ,0.304784,43.2671
PIGR,1.23309,41.2879
PIGS,5.85499,40.1748
PIGT,6.01368,40.5653
PIGU,0.0387859,41.1047
PIGW,0.0834104,43.813
PIGX,0.177314,46.6567
PIGY,0.287814,45.9211
PIM1,3.01491,39.0198
PIM2,3.83284,40.9582
PIM3,3.01228,47.2023
PIN1,4.78343,35.8828
PIN4,1.43695,40.2868
PIRT,5.89964,57.9851
PISD,0.317108,45.3833
PJA1,1.43925,40.5266
PJA2,2.58537,43.5943
PKD1,1.72928,41.943
PKD2,5.91489,38.8399
PKIA,1.74702,43.2942
PKIB,5.3228,45.5207
PKIG,5.71058,43.2874
PKLR,2.73006,45.0467
PKN1,5.76125,37.2879
PKN2,2.04801,39.1804
PKN3,1.81673,39.3973
PKP1,2.09372,41.3392
PKP2,5.79309,39.3069
PKP3,2.07227,40.3376
PKP4,1.47665,40.1054
PLAA,1.06244,40.704
PLAT,6.19371,41.0201
PLAU,6.18965,41.9216
PLB1,5.63309,42.8243
PLD1,2.38639,40.4102
PLD2,1.64882,40.3953
PLD3,2.58888,42.6418
PLD6,0.128677,43.1231
PLEC,2.50835,39.2663
PLEK,1.42388,43.2969
PLK1,3.04734,35.7444
PLK2,3.19676,39.6711
PLK3,4.00017,40.7418
PLK4,4.71733,40.4381
PLLP,0.619795,40.1956
PLP1,0.515726,38.8072
PLP2,0.539978,38.7764
PLS1,2.00339,40.2103
PLS3,2.23051,40.6923
PLTP,6.25725,40.4931
PMCH,6.23711,43.6065
PMEL,0.26313,39.7442
PMF1,3.44646,39.7884
PMM1,2.01705,43.0781
PMM2,5.07652,45.2716
PMP2,2.24768,46.8242
PMS1,2.65569,42.6101
PMS2,3.43123,42.1357
PMVK,5.57866,40.8439
PNCK,2.81215,43.3182
PNKD,1.06429,38.2522
PNKP,5.8947,38.8264
PNMT,3.82797,46.4426
PNO1,3.34234,39.8114
PNOC,1.14936,58.0485
PNPO,2.2646,42.077
POC5,2.53022,42.6851
PODN,6.10212,44.1042
POGK,2.58202,44.1365
POGZ,4.84513,38.7034
POLB,3.84354,40.9341
POLE,2.98626,41.2076
POLG,1.91826,42.3639
POLH,3.31609,41.2681
POLI,5.87627,42.1392
POLK,3.0922,40.6496
POLL,5.55274,39.5392
POLM,4.96682,43.9354
POLN,3.19117,47.2774
POLQ,1.15241,45.6389
POMC,5.66211,40.6006
POMK,0.15678,39.042
POMP,2.90884,41.7591
PON1,1.11313,43.2651
PON2,6.188,37.7013
PON3,4.79754,47.593
POP1,3.75753,40.2011
POP4,3.78852,40.7934
POP5,3.82437,42.1554
POP7,3.08521,40.8626
POT1,3.12547,42.4859
PPA1,2.19859,41.6133
PPA2,2.14739,40.5489
PPAN,3.70853,39.0026
PPAT,2.60311,41.2819
PPBP,0.71351,41.5974
PPCS,2.01864,45.9965
PPIA,2.00186,39.1893
PPIB,2.08705,39.0643
PPIC,0.988877,42.6815
PPID,2.12117,41.14
PPIE,3.8956,40.2803
PPIF,2.01781,39.9302
PPIG,4.42768,40.8337
PPIH,2.29734,42.4852
PPOX,1.25484,42.2594
PPT1,2.1606,43.2114
PPT2,3.28512,40.7949
PRB1,0.482173,42.7317
PRB2,0.724072,46.2988
PRB3,0.735142,43.7477
PRB4,0.887635,45.4299
PRC1,5.64651,41.1306
PRCC,3.83296,41.659
PRCP,2.34053,41.655
PREB,0.810146,44.2741
PREP,2.18271,41.2441
PRF1,5.36208,44.212
PRG2,6.02069,38.9953
PRG3,6.02184,40.7465
PRH1,0.66337,43.0554
PRH2,2.1558,46.0514
PRKN,1.76613,39.0589
PRKX,1.72121,37.4074
PRKY,1.58305,37.3679
PRLR,1.58447,42.9015
PRM1,4.1318,46.3452
PRM2,5.44761,45.1693
PRND,3.3595,47.7966
PRNP,4.12239,39.4113
PROC,6.20689,41.7273
PROZ,5.72585,40.6017
PRPH,5.11731,40.3293
PRR3,4.60995,40.4143
PRR4,0.953292,43.0133
PRR5,5.01084,43.6559
PRTG,0.185694,46.6023
PSAP,1.48992,40.2837
PSCA,0.560786,40.5584
PSD4,4.28178,58.471
PSG1,6.09929,39.9726
PSG3,6.11804,43.9205
PSG4,6.11559,45.3772
PSG5,6.09806,46.629
PSG6,6.09929,58.052
PSG8,6.1146,40.3247
PSG9,6.22736,41.9428
PSPH,2.35565,42.0145
PTEN,1.60003,38.6449
PTER,5.61322,42.5135
PTH2,5.9908,46.6124
PTK2,1.51647,37.1939
PTK6,4.63749,39.7775
PTK7,5.47272,42.7381
PTMA,2.33935,39.8625
PTMS,2.26579,41.92
PTPA,1.91809,42.0761
PTX3,6.2215,42.675
PUDP,2.28578,43.4053
PUM1,2.82128,42.0993
PUM2,4.305,42.8431
PUM3,3.71452,38.2315
PURA,3.72648,41.9843
PURB,3.40036,42.2686
PUS1,2.88626,40.4561
PUS7,3.07913,40.8254
PWP1,3.71664,42.9421
PWP2,3.70453,41.8302
PXDN,6.01965,41.7557
PXT1,5.75676,48.0176
PYGB,2.64633,40.1364
PYGL,2.30649,41.2704
PYGM,2.64899,43.109
PYM1,3.34415,39.5109
QARS,4.20031,37.3036
QDPR,2.18775,42.5583
QPCT,2.77759,44.1847
QPRT,4.28316,40.2
QRFP,6.09167,57.8157
RAC1,2.25077,37.4506
RAC2,2.38131,41.5597
RAC3,2.39547,42.1328
RAD1,3.13304,41.8991
RAE1,2.71348,40.0864
RAF1,1.67798,36.9257
RAG1,4.19437,44.2894
RAG2,1.72463,46.5373
RAI1,4.32771,42.354
RAI2,1.08122,45.4968
RALA,2.52214,40.2393
RALB,2.53081,42.3129
RALY,4.29608,39.2569
RARA,4.10547,38.775
RARB,4.02183,42.8285
RARG,4.11087,42.1655
RARS,2.61536,40.1661
RAX2,4.79535,58.6627
RBAK,5.45789,40.7644
RBFA,0.791259,40.383
RBKS,1.83017,44.318
RBL1,3.6066,40.0328
RBL2,3.60541,40.1177
RBM3,3.67701,40.6387
RBM4,3.75564,38.4023
RBM5,3.87073,41.4479
RBM6,3.20101,42.16
RBM7,3.92138,39.8617
RBMX,4.54201,38.315
RBP1,1.75888,43.4621
RBP2,0.659388,58.2946
RBP3,5.36742,42.8132
RBP4,5.92969,42.7153
RBP5,4.74975,46.8816
RBP7,4.53495,58.0864
RBPJ,4.10437,40.3928
RBSN,1.01726,42.1374
RBX1,3.49371,39.7345
RCC1,2.7399,37.8617
RCC2,3.31531,41.3251
RCL1,4.39509,44.2237
RCN1,2.18966,38.777
RCN2,2.05206,42.6978
RCN3,5.53761,42.5379
RDH5,2.88346,44.0337
RDM1,4.76954,44.1097
REC8,3.97846,46.1988
RECK,5.3679,40.3068
REG4,5.68903,44.4718
RELA,4.02738,36.6666
RELB,4.17647,40.4133
RELN,6.25888,44.9758
RELT,0.9565,42.5075
REM1,3.66465,46.6169
REM2,5.39655,48.0656
RER1,1.31973,41.2477
RERE,5.18407,43.8787
RERG,2.46571,49.2716
REST,4.30943,44.2018
RETN,5.51668,44.1222
REV1,3.24808,43.3106
RFC1,3.26097,40.1622
RFC2,3.21731,40.5054
RFC3,3.2243,41.1449
RFC4,3.22882,39.6256
RFC5,3.21771,39.7308
RFFL,5.53625,43.9644
RFNG,4.09666,48.3948
RFT1,0.35977,41.1921
RFX1,3.82548,42.5047
RFX2,3.82084,42.848
RFX3,5.77515,42.4953
RFX4,4.04269,48.0347
RFX5,2.86173,41.8588
RFX6,5.07767,40.973
RFX7,2.86173,58.1556
RGCC,1.65917,43.1916
RGL1,1.47633,46.6661
RGL2,2.13075,42.0435
RGL3,2.9942,44.9481
RGL4,5.73271,45.7991
RGMA,4.26222,42.6119
RGMB,0.924281,48.0332
RGP1,5.74321,44.3383
RGS1,1.77055,44.4398
RGS2,1.81868,39.1621
RGS3,5.69374,39.7369
RGS4,1.19331,43.9669
RGS5,5.73734,48.2991
RGS6,2.80855,44.691
RGS7,1.72886,45.3166
RGS8,5.72104,43.6293
RGS9,2.07556,44.8322
RHAG,0.409595,43.6028
RHBG,5.36667,46.2862
RHCG,0.431343,42.6957
RHEB,0.878009,40.0828
RHEX,0.793839,41.5223
RHOA,2.38805,37.275
RHOB,2.37732,42.415
RHOC,2.38736,40.7492
RHOD,1.77976,42.2232
RHOF,2.38555,44.0572
RHOG,1.49253,43.0429
RHOH,4.9116,41.7975
RHOJ,3.21568,41.2224
RHOQ,4.70691,42.3622
RHOU,1.63001,44.9284
RHOV,4.12607,45.9763
RIC1,2.39545,47.5475
RIC3,0.312431,39.6449
RIDA,1.83669,42.1834
RIF1,1.00934,40.4892
RILP,2.38226,47.1414
RIN1,5.76952,39.0225
RIN2,1.4483,44.2874
RIN3,1.43187,44.2189
RIT1,2.99355,43.2006
RIT2,3.00069,44.7781
RLIM,4.79162,43.5744
RLN1,5.85376,45.1071
RLN2,5.85477,46.8121
RLN3,5.85747,45.1163
RMC1,2.35615,43.2564
RMI1,2.97862,43.2952
RMI2,3.63279,44.6351
RND1,1.44549,43.577
RND2,1.90073,44.0323
RND3,4.99369,44.7026
RNF2,4.20884,39.2234
RNF4,4.50199,37.9394
RNF5,0.342021,39.5055
RNF6,5.27982,40.7067
RNF7,3.50114,43.3316
RNF8,5.49901,38.9931
RNH1,2.83777,41.7578
RNMT,4.23267,42.9973
ROM1,0.545854,47.6223
ROR1,6.1782,44.9732
ROR2,4.87026,39.9982
RORA,4.37877,42.8708
RORB,5.24391,42.0497
RORC,4.38437,43.5679
ROS1,1.55024,44.407
RP9P,4.56336,45.0912
RPA1,2.88686,38.4637
RPA2,3.18777,38.0615
RPA3,2.88262,40.8527
RPA4,3.90329,43.0698
RPF1,3.75392,41.3025
RPF2,3.76641,40.487
RPGR,1.22344,41.7605
RPIA,2.17778,40.8455
RPL3,3.36744,37.7938
RPL4,3.38946,37.6607
RPL5,3.37576,37.1521
RPL6,3.36643,36.6636
RPL7,3.36887,37.4297
RPL8,3.36799,37.5992
RPL9,3.3715,37.669
RPN1,1.37717,37.7943
RPN2,1.33645,38.922
RPRM,0.506308,39.0285
RPS2,3.36127,36.5237
RPS3,3.36473,37.1985
RPS5,3.37033,37.9385
RPS6,3.36705,37.4736
RPS7,3.32447,37.7702
RPS8,3.36881,36.4781
RPS9,3.36209,38.1797
RPSA,3.36174,37.3854
RRAD,1.61807,43.8862
RRAS,1.87918,40.3316
RRM1,2.5765,41.0376
RRM2,3.10008,41.0773
RRN3,3.99605,42.8813
RRP1,1.07327,41.7387
RRP8,3.75556,38.4022
RRP9,3.71315,41.979
RRS1,3.38485,37.3532
RSF1,4.3993,42.8558
RSU1,2.23962,41.852
RTCA,3.40346,41.0857
RTCB,3.21829,40.0989
RTF1,4.15296,41.5532
RTF2,2.55682,41.6134
RTKN,1.16671,43.0534
RTL4,4.75195,58.4356
RTL6,4.47511,45.3911
RTL9,5.24231,58.2979
RTN1,0.857611,40.8574
RTN2,0.0820103,42.2825
RTN3,0.860854,41.1387
RTN4,0.859693,37.9784
RTP2,0.54042,39.3264
RTP4,0.43495,45.5556
RTP5,5.12388,40.0284
RXRA,4.01264,38.6434
RXRB,4.42014,39.8635
RXRG,4.07781,41.1607
RYBP,4.11374,40.3005
RYR1,1.8244,42.4178
RYR2,1.60643,43.4828
RYR3,2.23683,48.3536
SAA1,0.0297796,45.4926
SAA2,6.1652,46.7073
SAA4,6.09551,46.6653
SACS,4.43948,45.5303
SAE1,2.5997,40.3402
SAFB,3.81596,39.5192
SARS,2.64482,39.225
SAT1,5.80466,37.9893
SAT2,2.14988,45.9664
SAV1,4.16178,41.5595
SBDS,2.23508,39.7424
SBF1,0.794157,41.7933
SBF2,2.0061,44.3976
SBK3,5.18457,43.1078
SBSN,3.09221,42.4861
SC5D,0.158098,43.0317
SCAI,4.26255,41.452
SCAP,0.0833529,42.3931
SCD5,0.627432,46.9065
SCEL,5.21063,43.9166
SCG2,1.07017,45.7618
SCG3,5.51723,43.8129
SCG5,0.933779,44.0938
SCGN,0.936568,41.2979
SCIN,2.48897,43.6408
SCLY,2.27657,41.1466
SCO1,2.17603,44.6519
SCO2,1.83625,40.983
SCOC,4.60053,41.0338
SCP2,1.90966,40.5683
SCTR,4.99511,47.3321
SDC1,1.4066,40.201
SDC2,6.12242,38.3495
SDC3,5.58705,40.7507
SDC4,5.89623,40.7823
SDE2,3.88025,45.8361
SDF2,5.95809,43.8431
SDF4,0.728021,38.8442
SDHA,1.27108,38.7241
SDHB,1.34301,38.3704
SDHC,1.25784,43.8383
SDHD,1.2579,46.8535
SDK1,0.282334,46.7709
SDK2,0.239254,43.4134
SDSL,5.66461,47.6882
SELE,0.837294,42.6414
SELL,0.765493,42.7652
SELP,0.0428114,43.3618
SEM1,2.90602,42.6661
SETX,3.55032,41.3012
SEZ6,1.74516,45.8711
SFI1,4.92109,42.6473
SFPQ,3.81026,38.0874
SFR1,4.42886,43.2603
SGCA,0.268017,42.6384
SGCB,0.237222,41.3982
SGCD,0.237434,44.4303
SGCE,0.203044,46.0221
SGCG,6.1979,44.5059
SGCZ,0.316832,42.4677
SGK1,1.72513,38.2282
SGK2,2.80196,42.3959
SGK3,1.78666,41.4328
SGO1,3.00707,39.9705
SGO2,1.83833,38.8227
SGSH,6.10313,43.2433
SGTA,0.887811,36.4453
SGTB,0.794709,36.3872
SHBG,1.18567,45.9075
SHC1,1.63134,37.2834
SHC2,1.62706,43.7487
SHC3,5.02297,39.6501
SHC4,2.11442,43.9046
SHOX,4.37074,44.3302
SHPK,5.94163,42.9858
SHQ1,3.72901,43.3386
SIAE,6.1316,39.6404
SIK1,3.0644,42.0082
SIK2,3.29152,42.3721
SIK3,5.70172,43.6901
SIL1,6.03805,41.7756
SIM1,4.73672,47.6068
SIM2,4.27934,45.5049
SIT1,0.549931,42.8346
SIX1,4.76658,40.9729
SIX2,4.31197,41.9427
SIX3,4.27924,44.3279
SIX4,4.43592,45.318
SIX5,4.79229,46.1362
SIX6,4.31488,47.5488
SKA1,2.9739,40.191
SKA2,4.30253,44.442
SKA3,2.97632,40.9336
SKIL,4.11489,40.8785
SKP1,3.49638,37.6843
SKP2,3.6083,38.5067
SLA2,1.57768,44.2993
SLBP,3.91633,43.7111
SLF1,3.49338,45.1152
SLF2,3.51254,43.7754
SLPI,5.79353,41.4939
SLTM,3.6748,41.9301
SLU7,4.55723,41.13
SLX4,3.10994,43.0589
SMC2,2.07686,40.1913
SMC3,3.16287,38.8537
SMC4,2.40155,41.4021
SMC5,2.98438,42.0829
SMC6,3.22508,40.2049
SMCP,5.42235,39.3102
SMG1,3.93795,42.2119
SMG5,3.78689,45.0059
SMG6,5.63335,43.0384
SMG7,4.61159,42.9008
SMG8,5.94205,40.7357
SMG9,4.92705,40.0235
SMN1,1.50214,36.7429
SMN2,3.93562,39.9417
SMOX,2.9847,44.9748
SMPX,3.06221,42.0399
SMTN,3.58508,46.6512
SMU1,3.82951,40.5238
SNCA,1.6856,37.4768
SNCB,1.1847,42.4966
SNCG,2.60272,41.5484
SND1,3.41724,39.7376
SNF8,2.93809,40.4412
SNPH,0.731842,44.5057
SNRK,3.96928,42.5353
SNW1,4.34483,37.3321
SNX1,0.863509,38.5227
SNX2,1.8983,38.8511
SNX3,2.2343,38.9529
SNX4,1.06027,42.3881
SNX5,2.63036,40.5292
SNX6,1.99685,39.7057
SNX7,4.98369,43.2988
SNX8,1.29601,42.2873
SNX9,2.44313,41.4721
SOBP,4.36635,47.0059
SOD1,2.23914,37.3074
SOD2,2.07864,39.7662
SOD3,0.92983,43.265
SORD,2.25792,39.9105
SOS1,1.53663,40.096
SOS2,1.5142,42.5927
SOST,4.43364,41.4658
SOX1,1.60685,46.8751
SOX2,2.50005,40.7917
SOX3,4.81107,45.4445
SOX4,4.06325,45.4468
SOX5,4.72302,40.7704
SOX6,4.34837,43.634
SOX7,5.37803,47.4219
SOX9,3.06816,42.4205
SPEG,4.16237,44.8546
SPEN,4.15471,41.3404
SPG7,5.89781,39.026
SPI1,4.04278,41.7626
SPIB,3.11532,45.2476
SPIC,4.82636,46.9802
SPOP,4.46445,41.2665
SPP1,1.75666,41.8428
SPTB,6.23195,41.5426
SPZ1,3.20842,44.3025
SQLE,0.288582,42.324
SQOR,2.03326,42.1607
SRA1,3.98411,42.0776
SRGN,0.93251,42.4785
SRMS,4.51525,46.1567
SRP9,2.56035,40.7929
SRRT,3.92034,39.5598
SS18,4.22495,41.0732
SSH1,2.57443,41.515
SSH2,2.45285,42.7119
SSH3,1.8928,42.1877
SSPN,6.1979,58.0938
SSR1,1.34607,39.546
SSR2,6.07416,47.0197
SSR3,1.33083,39.1422
SSR4,1.32745,39.3714
SSX1,4.62571,45.9768
SSX2,5.5199,41.0807
SSX3,5.75548,41.2765
SSX4,4.97962,47.1477
SSX5,0.750391,44.1892
SSX6,5.5199,57.9901
SSX7,5.5363,43.9994
ST13,2.52022,41.0556
ST14,6.19439,44.5639
ST7L,0.229304,42.0474
STAC,4.53617,42.2827
STAM,1.8448,40.4747
STAR,0.327026,42.8412
STC1,5.74163,48.1363
STC2,1.73303,42.5823
STIL,4.17248,41.528
STK3,4.19584,39.1584
STK4,4.16166,38.441
STN1,3.11098,40.3309
STOM,0.62929,37.4813
STRN,2.85426,39.6252
STX2,0.61882,39.6256
STX3,0.801254,37.7663
STX4,0.668023,38.6881
STX5,0.659519,38.7289
STX6,0.664384,38.9395
STX7,0.706496,37.5912
STX8,0.51788,38.5243
STYX,3.50552,47.3233
SUB1,3.65665,40.267
SUCO,1.17198,41.0588
SUFU,4.63333,39.1477
SUN1,0.258119,41.9105
SUN2,1.1145,39.8975
SUN5,0.601141,58.3943
SUOX,4.89575,38.8906
SV2A,0.259577,44.4398
SV2B,0.606155,47.2707
SV2C,0.758966,44.2881
SVIL,2.45838,40.0403
SVIP,1.18048,43.0669
SVOP,0.482228,48.7235
SWI5,4.31138,47.0476
SYBU,2.66604,42.6638
SYF2,4.0819,40.466
SYN1,1.53716,39.8453
SYN2,1.4242,43.5849
SYN3,4.27215,44.3594
