broad_id,InChIKey,Target,BDB Target
BRD-K78177893,BPNUQXPIQBZCMR-IBGZPJMESA-N,"AKT1, PKIA, PRKACA","PLK1, PLK2, PLK3, PLK4, CAMK2B, CDK11A, EGFR, BRSK1, ABL1, CHEK1, RPS6KA6, EPHA6, CAMKK2, EGFR, PRKCH, TNNI3K, EGFR, EGFR, SRPK2, PIK3CA, CHUK, ABL1, MET, ROCK2, PRKD2, CDK4, MET, EGFR, ABL1, EIF2AK4, EGFR, EGFR, MYO3B, ABL1, CDC42BPG, FLT3, RPS6KA2, RET, PIK3CA, INSR, PIK3CA, ABL1, EGFR, PRKG1, ABL1, PIK3CA, PIK3CA, IRAK3, RET, FLT3, ABL1, AAK1, ABL1, LRRK2, MINK1, ABL1, PIK3CA, MYLK, DAPK1, PIK3CA, RPS6KA4, ABL1, EGFR, JAK1, DMPK, FLT3, RET, FLT3, AURKB, FGFR3, FLT3, RPS6KA1, FLT3, STK17A, EGFR, BRAF, PIK3CA, EGFR, ABL1, MAP3K4, ABL1, RPS6KA5, ABL1, CAMK2A, TYK2, FLT4, PIK3CA, ABL1, ROCK1, PRKACA, PRKACB, PRKD1, MAPK3, MAPK4, MAPK6, MAPK8, MAPK11, MAPK10, MAPK13, MAP2K1, MAP2K3, MAP2K6, EIF2AK2, RAF1, GRK1, RPS6KA1, MAP2K4, SRPK1, NEK4, CDKL5, RPS6KB1, SYK, TEC, TGFBR2, TTK, TYK2, WEE1, PIP4K2B, ULK1, STK24, DYRK2, AURKA, CDC42BPA, MAP4K3, CAMK1, MAPKAPK5, CASK, CDK13, RIOK3, RPS6KA4, BRSK2, TNK1, CLK2, PLK3, FLT3, ACVR1B, ALK, BRAF, CSK, CSNK1G3, EPHA2, EPHA4, EPHA6, EPHB1, EPHB3, EPHB4, EPHB6, PIK3C2G, RPS6KA3, MAPK14, MAP3K6, LATS1, MAP3K13, DCLK1, RPS6KA5, CDK5, MTOR, JAK2, PIK3CD, PLK1, PRKX, OXSR1, MET, PHKG2, STK11, TEK, IGF1R, MAP3K15, PIM3, CHEK2, RPS6KA2, TNK2, MYLK4, PAK4, SBK1, DCLK2, ERBB4, MAP4K1, ULK3, ACVR1, ACVR2B, STK32A, CDKL3, MKNK1, DCLK3, CDK11B, SRMS, STK35, DYRK1A, NEK7, MAP3K20, MAPK1, MAPK14, MAPK15, MAPK9, CDK15, GRK7, HIPK4, MAP2K5, CSNK1A1L, MAP3K7, MAP4K4, NEK11, HIPK1, NIM1K, PIP5K1A, BMPR2, CDK8, CDK9, CSNK1G2, DAPK3, ERN1, IKBKB, ACVR2A, BLK, BMX, CAMK4, CDK2, CDK7, CSNK1A1, CSNK2A1, CSNK2A2, DDR1, ERBB3, FLT1, FRK, GSK3B, HCK, JAK1, KDR, LIMK1, LYN, MATK, MAP3K3, MAP3K11, MAP3K10, NEK3, PDGFRB, PDPK1, PIK3C2B, PIK3CG, MAPKAPK2, NEK9, MYLK2, PTK2, CLK1, MAPK12, MERTK, AURKC, TLK2, CDK17, DDR2, BTK, CDK4, FGFR3, ABL1, ABL2, EGFR, EPHA3, GAK, PRKCE, ROCK1, TIE1, YES1, AKT3, ITK, LIMK2, MUSK, HIPK3, PRKD3, MAK, MAP3K1, PTK6, STK10, CDC42BPB, PDGFRA, PHKG1, PIK3CA, PIK3CB, LOC102724428, STK32C, JAK3, PRKCD, PKN2, PRKCQ, PRKG2, STK3, TESK1, TYRO3, VRK2, MAP3K12, STK25, MAP3K2, PLK2, PIM2, CIT, STK38, TLK1, CDK14, PIP5K1C, STK39, C8orf44-SGK3, IKBKE, INSRR, PLK4, DAPK2, SRPK3, NEK6, EIF2AK1, RPS6KA6, LATS2, HUNK, ULK2, SLK, NUAK1, CILK1, MAST1, STK38L, CDK19, STK36, IRAK4, NLK, TAOK3, STK26, MYO3A, EPHB2, MARK2, MKNK2, BMP2K, TRPM6, SNRK, RIOK2, STK32B, GSK3A, BUB1B-PAK6, COQ8A, PAK5, CAMK1D, CAMK1G, EPHA8, RET, CLK4, TAOK1, CSNK1G1, HIPK2, FGFR2, FGFR1, PIP4K2C, COQ8B, MAP3K19, MAP2K2, STK33, NUAK2, MARK4, RIOK1, TSSK1B, CAMKK1, ANKK1, EPHA5, MYLK3, PKMYT1, GRK4, LRRK2, NEK5, LTK, ZAP70, PKN1, WEE2, SBK3, DSTYK, FLT3"
BRD-K03301001,JLUUJHIQVIXTGT-UHFFFAOYSA-N,,
BRD-K41918892,CTESJDQKVOEUOY-UHFFFAOYSA-N,,"PRKAB1, PRKAB1, PRKAG1, PRKAB1"
BRD-K87665527,SDUAWRFBHRAFBM-UHFFFAOYSA-N,TRPV1,"TRPV1, TRPV1, TRPV1, TRPV1"
BRD-K28570407,VHKBTPQDHDSBSP-UHFFFAOYSA-N,SCN10A,"OPRD1, P2RX2, KCNH2, CCKAR, TSPO, KCNQ3, ADORA1, ADORA3, CNR2, DRD2, CCR1, HRH2, CHRM5, OPRK1, OPRM1, OPRL1, P2RX2, P2RY2, HTR2C, HTR6, HTR7, TRPV1, KCNQ2, HTR3A, SIGMAR1, P2RX3, ADORA2A, CNR1, CXCR2, HRH1, CHRM3, HTR1B"
BRD-K94313941,PQYCRDPLPKGSME-AWEZNQCLSA-N,P2RX7,
BRD-K60427831,GMVNBKZQJFRFAR-UHFFFAOYSA-N,P2RX7,
BRD-K33059059,ABACVOXFUHDKNZ-UHFFFAOYSA-N,"CHRNA3, CHRNA4, CHRNA7","CHRFAM7A, CYP3A4, CYP2C9, KCNH2, KCNH2, CHRFAM7A, CHRFAM7A"
BRD-K20239555,JPJGFWKHSMUKFO-UHFFFAOYSA-N,SCN10A,
BRD-K81614372,BOZRFEQDOFSZBV-DHIUTWEWSA-N,DGAT1,
