broad_id,InChIKey,Target,BDB Target
BRD-K37864785,NDNKNUMSTIMSHQ-URZKGLGPSA-N,ELANE,"ELANE, ELANE, ELANE"
BRD-K33818169,NAXSRXHZFIBFMI-UHFFFAOYSA-N,"NR1H2, NR1H3","NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3, NR1H3"
BRD-K10705233,FSFZRNZSZYDVLI-UHFFFAOYSA-N,CNR2,"CNR2, CNR1, CNR2, CNR2, CNR2, CNR1, CNR2, CNR2, CNR1, CNR1, CNR2, CNR2, CNR1, CNR2, CNR1, CNR2"
BRD-K88186167,BYTNEISLBIENSA-MDZDMXLPSA-N,NR1H4,"NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, NR1H4, VDR, NR1H4, NR1H4"
BRD-K13039700,CDUDZZGLFOFINU-UHFFFAOYSA-N,NPY5R,
BRD-K41312087,NXNQLECPAXXYTR-LCYFTJDESA-N,NTRK1,"CDK2, RAF1"
BRD-K14880289,YDBLKRPLXZNVNB-UHFFFAOYSA-N,"PPARA, PPARD","PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG, PPARG"
BRD-K39520573,LMXYVLFTZRPNRV-UHFFFAOYSA-N,"NTRK1, RAF1",
BRD-K36485341,SAXGSDIZIYFNKD-UHFFFAOYSA-N,KCNN1,
BRD-K79930101,MNNXRVSQOABRRP-UHFFFAOYSA-N,"EGFR, ERBB2",EGFR
BRD-K50005760,XREWXJVMYAXCJV-UHFFFAOYSA-N,PTGER4,
BRD-K20828910,TYEFSRMOUXWTDN-DYQICHDWSA-N,PPARA,
BRD-K96263742,PKNYXWMTHFMHKD-UHFFFAOYSA-N,PPARA,"HTT, PPARG, PPARG, NR1H4"
BRD-K78086729,SAGZIBJAQGBRQA-UHFFFAOYSA-N,"LCK, MAPK14, TGFBR1",TGFB1
BRD-K65576800,MWULMTACIBZPGN-UHFFFAOYSA-N,"KCNH2, MCHR1","MCHR1, KCNH2, MCHR1, CYP2C19, CYP3A4, CYP2C9, HRH3, MCHR1"
BRD-K26823213,TWQYWUXBZHPIIV-UHFFFAOYSA-N,CNR2,"CNR1, CNR2, CNR2, CNR1, CNR2, CYP3A4, CYP2C19, CYP2C9, CNR2, CNR2, CNR2, CNR2, CNR1, CNR2, CNR1, CNR2, CNR1, CNR2, CNR1, CNR2, CNR1, CNR2"
BRD-K90382497,JSKUWFIZUALZLX-UHFFFAOYSA-N,"PLK1, PLK3","PLK1, PLK2, PLK3, PLK4, PLK1, PLK3"
BRD-K71534238,DGENZVKCTGIDRZ-UHFFFAOYSA-N,"FFAR1, FFAR4",
BRD-K93258693,DNTSIBUQMRRYIU-UHFFFAOYSA-N,"NCOA2, PPARG, RXRA",PPARG
BRD-K65840970,MOLOJNHYNHBPCW-ZETCQYMHSA-N,,"NOS2, NOS1, NOS2, NOS1, NOS2, NOS1, NOS1, NOS2"
BRD-K24240364,LFBZZHVSGAHQPP-UHFFFAOYSA-N,"GRIA1, GRIA2, GRIA3, GRIA4","GRIA3, GRIA3, GRIA2, GRIA2"
BRD-K58775955,ZTQSADJAYQOCDD-HUGMCNGHSA-N,,
BRD-K35329391,TZKBVRDEOITLRB-UHFFFAOYSA-N,"ABL1, BCR","ABL1, ABL1, ABL1, CYP2C19, CYP2C9"
BRD-K12198961,HIWVLHPKZNBSBE-OUKQBFOZSA-N,"TNKS, TNKS2",CYP3A4
BRD-K00005333,UJZDIKVQFMCLBE-UHFFFAOYSA-N,,
BRD-K27737647,ZKZXNDJNWUTGDK-NSCUHMNNSA-N,"GSG2, PKIA, PRKACA","ROCK2, AKT3, PRKG1, PRKACA, PRKG1, PRKCA, MYLK3, CAMK2B, CSNK1A1, CSNK2A1, CAMKK2, ROCK2, AKT3, RPS6KA5, RPS6KB1, ROCK2, CSNK1A1, MYLK, GSK3B, CSNK2A1, ROCK2"
BRD-K05434375,MZNDNBFMSVMUCX-UHFFFAOYSA-N,,"CAMKK2, MYLK, MAPK1"
BRD-K64452997,VTNKMYWFWQTEHE-XKZIYDEJSA-N,ENPP2,
BRD-K58046914,HCKUBNLZMKAEIN-GSVOUGTGSA-N,GRIA1,
BRD-K41304947,HCKUBNLZMKAEIN-VKHMYHEASA-N,GRIA1,
BRD-K68091065,XPDVQPODLRGWPL-UHFFFAOYSA-N,,
BRD-K81709173,MUQNGPZZQDCDFT-JNQJZLCISA-N,NR3C1,
BRD-K71487404,BDSYKGHYMJNPAB-LICBFIPMSA-N,"NR3C1, PLA2G1B",
BRD-A51964809,FOHHNHSLJDZUGQ-RUZDIDTESA-N,KCNN4,
BRD-K54247840,LVASCWIMLIKXLA-CABCVRRESA-N,"COL1A1, MMP2",
BRD-K50055394,NBHPRWLFLUBAIE-UHFFFAOYSA-N,"PLD1, PLD2","PLD1, PLD1, PLD1, PLD1, PLD1, PLD2, PLD1, PLD2, PLD1, PLD2, PLD1, PLD2, DRD2, PLD2, PLD1"
BRD-K67783091,LNEPOXFFQSENCJ-UHFFFAOYSA-N,"DRD1, DRD2, DRD3, DRD4, DRD5, GRIN2B, HRH1, HTR1A, HTR1D, HTR2A, HTR2B, HTR7, KCNH1","DRD2, ADRB2, DRD2, DRD2, DRD2, HTR2C, ADRA1A, DRD2, HRH1, HRH1, ADRA1A, DRD2, HRH1, HTR1B, DRD2, DRD2, DRD4, DRD2, DRD4, DRD2, HTR6, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, HTR2C, DRD4, SLC6A4, HTR1B, HTR1D, HTR1E, HTR1F, ADRB2, DRD2, DRD2, DRD4, DRD4, HRH1, TAC1, HTR2C, DRD2, DRD2, DRD4, DRD2, DRD4, DRD2, DRD2, DRD4, HTR2B, HTR2C, DRD4, DRD4, HTR7, HTR6, DRD2, DRD2, DRD2, DRD4, DRD4, HTR2B, HTR2B, DRD2, DRD4, DRD2, SIGMAR1, HTR2C, HTR1D, HTR2C, ADRA1A, DRD2, HRH1, HTR2C, HTR6, HTR7, ADRA1A, CHRM3, DRD2, HRH1, CHRM3, CHRM5, DRD2, DRD2, DRD2, DRD2, DRD4, DRD2, SLC6A4, ADRA1A, HTR2C, H1-0, DRD2, SIGMAR1, SIGMAR1, DRD2, SIGMAR1, SIGMAR1, DRD2, SIGMAR1, DRD2, SIGMAR1, SIGMAR1, SIGMAR1, SIGMAR1, DRD2, SIGMAR1, DRD2, DRD2, DRD2, SIGMAR1, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, SIGMAR1, HTR2C, SIGMAR1, SIGMAR1, DRD2, DRD2, SIGMAR1, DRD2, DRD2, DRD2, DRD2, SIGMAR1, DRD2, SIGMAR1, SIGMAR1, DRD2, DRD2, DRD4, DRD4, SIGMAR1, DRD2, DRD4, DRD4, DRD4, DRD4, DRD2, DRD2, DRD4, DRD2, HRH1, SLC6A2, SLC6A4, DRD2, DRD4, DRD2, DRD2, DRD2, SIGMAR1, SIGMAR1, SIGMAR1, DRD2, CACNA1C, KCNH2, UGT1A9, KCNH2, CYP3A4, CYP2C19, CYP2C9, DRD2, DRD4, CYP3A4, CYP2C9, CYP2C19, DRD2, DRD2, HTR6, SLC6A4, HTR2C, HRH1, DRD2, DRD4, DRD2, DRD2, DRD2, KCNH2, DRD2, DRD2, DRD4, SIGMAR1, SIGMAR1, DRD2, SIGMAR1, DRD4, SIGMAR1, DRD2, DRD4, SIGMAR1, HTR7, HTR7, DRD2, SIGMAR1, DRD2, DRD4, HTR2A, DRD2, DRD4, DRD2, DRD2, HTR2C, DRD2, DRD2, DRD2, DRD4, DRD2, DRD2, SIGMAR1, DRD2, DRD2, HRH1, DRD2, DRD2, DRD4, DRD4, DRD2, KCNH2, KCNH2, SIGMAR1, SIGMAR1, SIGMAR1, SIGMAR1, SIGMAR1, DRD2, SIGMAR1, DRD4, SIGMAR1, ABCC4, ABCC3, DRD4, SIGMAR1, SIGMAR1, DRD2, DRD2, DRD4, DRD4, KCNH2, SIGMAR1, DRD4, DRD4, DRD2, HTR6, PRNP, DRD2, HRH1, HTR2C, DRD2, DRD4, KCNH2, SIGMAR1, SIGMAR1, SIGMAR1, EBP, DRD2, DRD2, SLC22A1, KCNH2, DRD2, DRD2, DRD2, DRD2, KCNH2, DRD2, KCNH2, SIGMAR1, SIGMAR1, DRD4, DRD2, SIGMAR1, KCNH2, KCNH2, DRD2, HTR2C, KCNH2, HTR2C, DRD2, SIGMAR1, KCNH2, SIGMAR1, KCNH2, DRD2, SIGMAR1, SIGMAR1, SIGMAR1, DRD2, SIGMAR1, DRD2, SIGMAR1, DRD2, DRD2, DRD2, HTR6, HTR7, HLA-A, HTR2C, DRD2, DRD4, DRD2, HTR7, DRD4, HTR2C, DRD2, CACNA1C, SIGMAR1, DRD2, DRD2, SIGMAR1, OPRM1, OPRM1, DRD2, DRD2, SIGMAR1, SIGMAR1, SIGMAR1, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2"
BRD-K80859331,GUTXTARXLVFHDK-UHFFFAOYSA-N,"DRD2, DRD3, DRD4, HTR2A","DRD2, DRD2, DRD4"
BRD-K13238168,CTETYYAZBPJBHE-UHFFFAOYSA-N,,GALE
BRD-A20550616,BCQZXOMGPXTTIC-PVQJCKRUSA-N,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GLRA1, GLRB, KCNK10, KCNK12, KCNK13, KCNK15, KCNK18, KCNK2, KCNK3, KCNK9",
BRD-K12630395,PSFDQSOCUJVVGF-UHFFFAOYSA-N,"MAOA, MAOB",BCL2L11
BRD-K00003715,HAVJATCHLFRDHY-KSZYUSJVSA-N,,
BRD-K18163608,SXJDCULZDFWMJC-AAEUAGOBSA-N,BCL2,
BRD-K00004555,GRUVVLWKPGIYEG-UHFFFAOYSA-N,,
BRD-K73815512,HEQDZPHDVAOBLN-UHFFFAOYSA-N,TRPA1,"TRPV1, TRPV3, PDE7A"
BRD-K03391209,NCZYSQOTAYFTNM-UHFFFAOYSA-N,TRPV4,
BRD-K00004601,VYJPVPHNGWEIBT-UHFFFAOYSA-N,,
BRD-K49788188,SPTWXRJNCFIDRQ-ZHACJKMWSA-N,"NEDD4, SMURF2, WWP1",
BRD-K34672903,KOCIMZNSNPOGOP-IWCJZZDYSA-N,"ADORA1, ADORA2A, ADORA2B, ADORA3",ADORA2B
BRD-K01825010,DWZDGMDDUHAIQA-XEAGYAAOSA-N,,
BRD-K78342372,WZUVPPKBWHMQCE-XJKSGUPXSA-N,,"MCL1, MPI, ALPI, ALPG, ALPL, MET, FGFR1, KDR, FLT1, EGFR, EPHB2"
BRD-K74057164,BMUDPLZKKRQECS-HXFTUNQESA-K,,
BRD-K15231341,SHCBCKBYTHZQGZ-CJPZEJHVSA-N,PPARG,
BRD-K00004739,GOJJWDOZNKBUSR-UHFFFAOYSA-N,,"CA9, CA1, CA2"
BRD-A32988684,LREQLEBVOXIEOM-SSDOTTSWSA-N,,
BRD-K89709433,QVMNYGOVNWWFKF-UHFFFAOYSA-N,,
BRD-K58122457,GLDSKRNGVVYJAB-DQSJHHFOSA-N,AURKB,
BRD-K30553453,AIONOLUJZLIMTK-AWEZNQCLSA-N,"DGAT1, MTTP, SOAT1, SOAT2","MAPK14, CA2, CA1, CA4, CA7, CA12, CYP1A1, CYP1B1, ACHE, DPP4, GSK3B, KDM1A"
BRD-K38903228,QUQPHWDTPGMPEX-QJBIFVCTSA-N,"AURKB, CACNA1B","CTDSP1, HPSE, GSK3B, KDM1A"
BRD-K00005353,DXVUYOAEDJXBPY-NFFDBFGFSA-N,,
BRD-K99792991,ACGUYXCXAPNIKK-UHFFFAOYSA-N,"GLUD1, SDHD","HSPA1A, HSPA1A, EIF4G1, MCL1, HSPA8, NPY2R, NPY1R, SERPINE1, MIF, MIF, MIF, HSPA5, HSPA5, HSPA5"
BRD-K10598093,VZJFGSRCJCXDSG-UHFFFAOYSA-N,"CHRNA2, CHRNA3, CHRNA4, CHRNA6","CHRNA4, CHRNA4, CHRNA4"
BRD-K04710043,BNQSTAOJRULKNX-UHFFFAOYSA-N,AKT1,
BRD-K73753850,RYQOILLJDKPETL-UHFFFAOYSA-N,,
BRD-K70007857,IMQLKJBTEOYOSI-GPIVLXJGSA-N,,
BRD-K69253806,PBBGSZCBWVPOOL-HDICACEKSA-N,"AKR1C1, ESR1, ESR2",
BRD-A18605525,DTOUUUZOYKYHEP-AERCQKQUSA-N,,
BRD-A63267145,RGHNJXZEOKUKBD-TXICZTDVSA-N,,
BRD-A33894669,OXLZNBCNGJWPRV-SZPZYZBQSA-N,ADRB2,
BRD-A97730597,DKLKMKYDWHYZTD-ZDUSSCGKSA-N,SCN5A,
BRD-A14234430,SVTBMSDMJJWYQN-RXMQYKEDSA-N,"AKR1C3, CTPS1, DLG4, HSP90AA1, NOS3, PGF, PLA2G1B, PTPN1, SELP",
BRD-K99946902,WFJIVOKAWHGMBH-UHFFFAOYSA-N,TYR,"TYR, ALOX15, ALOX5, ALOX5, ALOX12"
BRD-A55204514,WZRCQWQRFZITDX-CQSZACIVSA-N,ADRB2,"DRD2, DRD4"
BRD-K62914667,QIAFMBKCNZACKA-UHFFFAOYSA-N,,"SLC22A6, SLC22A6, SLC22A8, DHFR"
BRD-K01674964,NTYJJOPFIAHURM-UHFFFAOYSA-N,"HRH1, HRH2, HRH3, HRH4","QPCT, HRH4, HRH3, HRH1, HRH1, HTR7, HRH1, HRH1, HRH3, HRH3, HRH3, HRH4, HRH4, HRH4, HRH4, TAAR1, HRH1, HRH1, HRH1, HRH1, HRH1, HRH2, HRH3, HRH3, HRH4, HRH1, HRH2, HRH4, HRH2, HRH1, HRH3, HRH3, HRH4, HRH2, HRH3, HRH1, HRH4, HRH2, HRH1, HRH4, HRH3, HRH4, HRH4, HRH3, HRH1, HRH4, HRH3, HRH4, HRH3, HRH4, HRH4, HRH4, HRH1, HRH2, HRH3, HRH4, HRH2, HRH4, HRH1, HRH2, HRH3, HRH4, HRH2, HRH1, HRH3, HRH4, HRH1, HRH3, HRH4, HRH4, HRH3, HRH3, HRH4, SLC22A3, HRH1, HRH4, HRH3, HRH3, HRH4, HRH4, HRH3, HRH3, HRH4, HRH4, HRH4, HRH4, HRH1, HRH4, HRH4, HRH4, HRH3, HRH3, HRH2, HRH4, HRH4, HRH4, HRH4, HRH3, HRH3, HRH3, HRH3, HRH3, HRH4, HRH3, HRH4, HRH3, HRH4, HRH4, HRH3, HRH4, HRH3, HRH3, HRH3, HRH4, HRH4, HRH4, HRH4, HRH4, HRH4, HRH2, HRH2"
BRD-K34411045,AFZWZVLPIMHLSE-UHFFFAOYSA-N,RAPGEF4,RAPGEF4
BRD-K58811567,NERXPXBELDBEPZ-RMKNXTFCSA-N,EGFR,EGFR
BRD-K73746696,FIOIJUCPVZEPFX-UHFFFAOYSA-N,PRMT5,
BRD-K74319597,AHJUHHDDCJQACA-UHFFFAOYSA-N,,
BRD-K70511574,OCKHRKSTDPOHEN-BQYQJAHWSA-N,PLK1,
BRD-K00003598,LIXBJWRFCNRAPA-NSHDSACASA-N,,
BRD-K01826529,ZTVIKZXZYLEVOL-YJNKXOJESA-N,CHRM1,
BRD-A54234250,WKWOJBUWWZTUQV-JJXSEGSLSA-N,CHRM5,
BRD-K28354016,QTANTQQOYSUMLC-UHFFFAOYSA-O,,"TERT, TERT, TERT, TERT, TERT, TERT, TERT, TERT, TERT, TERT, TERT, TERT, TERT"
BRD-K01826562,WEUCDJCFJHYFRL-IBGZPJMESA-N,HRH1,
BRD-K76674262,HYFHYPWGAURHIV-JFIAXGOJSA-N,RPL3,
BRD-K30519779,HQPMJFFEXJELOQ-UHFFFAOYSA-N,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D",
BRD-A34751532,WSSJONWNBBTCMG-RYUDHWBXSA-N,,
BRD-K59570838,ANOUKFYBOAKOIR-UHFFFAOYSA-N,,
BRD-K98493452,FVYXIJYOAGAUQK-UHFFFAOYSA-N,"ALOX5, PTGS1, PTGS2","CNR2, GABRA1, CNR2, CNR1, ALOX5, RXRA, GABRA1, CNR1, CNR2, CNR1"
BRD-K93631643,KUBCEEMXQZUPDQ-UHFFFAOYSA-N,,
BRD-K00004723,UHKZNDVUBSEJJO-XAYNKGEHSA-N,,
BRD-K00003140,VJCLAPUACUQZOV-UHFFFAOYSA-N,,HPGDS
BRD-K00003730,PVXGCBZIVFCMJK-AUSGGWNYSA-N,,
BRD-K44963273,VUAXHMVRKOTJKP-UHFFFAOYSA-N,,
BRD-K00004745,LUJDHCXCWJFNOJ-UHFFFAOYSA-N,,
BRD-K00003386,TXCGMRVPXUBHAL-PLRJNAJWSA-N,,
BRD-K58726989,CHSDJDLAKKAWCI-UHFFFAOYSA-N,NUAK1,
BRD-K00003389,ATMNQRRJNBCQJO-UHFFFAOYSA-N,,
BRD-K01825665,PMKJGGBYYNEYPA-AWEZNQCLSA-N,HRH4,
BRD-K62240499,ZRJBHWIHUMBLCN-YQEJDHNASA-N,ACHE,"ACHE, ACHE, ACHE, BCHE, BCHE, ACHE, BCHE, ACHE, BCHE, ACHE, BCHE, ACHE, ACHE, ACHE, BCHE, ACHE, ACHE"
BRD-K59788572,WCDDVEOXEIYWFB-VXORFPGASA-N,"C1QBP, CD44, HABP2, HAPLN1, HAPLN3, HAPLN4, HMMR, ICAM1, NCAN, VCAN",
BRD-K50406511,MFZWMTSUNYWVBU-UHFFFAOYSA-N,,"APEX1, APEX1"
BRD-K82103381,RPTUSVTUFVMDQK-UHFFFAOYSA-N,,"MPO, MPO, MPO, MPO"
BRD-K02715688,JZUTXVTYJDCMDU-MOPGFXCFSA-N,,
BRD-K92726801,LGDCROILDUSHQX-UHFFFAOYSA-N,,
BRD-K13078532,JZUFKLXOESDKRF-UHFFFAOYSA-N,"CA1, CA12, CA2, CA4, CA9, KCNMA1, SLC12A3","CA2, CA1, CA2, CA3, CA4, CA5A, CA5B, CA7, CA9, CA12, CA14, CA2, CA1, CA2, CA1, CA2, CA1, CA2, CA2, CA1, CA2, CA1, CA1, CA2, CA1, CA2, CA2, CA1, CA2, CA1, CA2, CA1, CA2, CA2, CA1, CA2, CA1, CA2, CA1, ABCC3, ABCC4, CA2, CA1, CA2, CA1, CA2, CA1, ALB, CA1, CA2, CA2, CA1, CA2, CA1"
BRD-K93568044,JYGXADMDTFJGBT-VWUMJDOOSA-N,"ANXA1, NOS2, NR3C1, NR3C2","NR3C2, NR3C2, CYP3A4, SHBG"
BRD-K11612998,ALEXXDVDDISNDU-JZYPGELDSA-N,NR3C1,
BRD-K99199077,BMCQMVFGOVHVNG-TUFAYURCSA-N,NR3C1,NR3C2
BRD-K00025601,VWQWXZAWFPZJDA-CGVGKPPMSA-N,,
BRD-K01824977,BGSOJVFOEQLVMH-SBXZOHCASA-N,,
BRD-K09968782,FZCHYNWYXKICIO-FZNHGJLXSA-N,NR3C1,
BRD-K36862742,DMDGGSIALPNSEE-UHFFFAOYSA-N,"ATP1A1, CA1, CA12, CA2, CA4, CA9, KCNMA1, SLC12A1, SLC12A3","CA1, CA2, CA3, CA4, CA5A, CA5B, CA7, CA9, CA12, CA14, PTPN7, ABCC3, ABCC4"
BRD-K65866076,LJOQGZACKSYWCH-LHHVKLHASA-N,,
BRD-K11227669,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,TYR,"CA1, CA2, CA3, CA4, CA5A, CA5B, CA7, CA9, CA12, CA14, CA1, CA2, CA4, CA1, CA2, TYR, TYR"
BRD-K00003525,YOZNUFWCRFCGIH-WZHZPDAFSA-L,,
BRD-A80871782,GIKNHHRFLCDOEU-SSDOTTSWSA-N,TAAR1,TAAR1
BRD-A99117172,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,"TLR7, TLR9","ACE2, CHRM3, SIGMAR1, CHRM5"
BRD-K77793136,ZAVGJDAFCZAWSZ-UHFFFAOYSA-N,"PKIA, PRKACA, ROCK1","ROCK1, ROCK1, ROCK1, ROCK1, ROCK2, CCL2, KCNH2"
BRD-K44932450,DBPWSSGDRRHUNT-CEGNMAFCSA-N,PGR,SHBG
BRD-K92902018,VTHUYJIXSMGYOQ-KOORYGTMSA-N,PGR,
BRD-A01412266,ODLHGICHYURWBS-LWHSBNEASA-N,,
BRD-K00003327,DKEZDPGUJMMUCC-GJVNFNJISA-N,,
BRD-K62186992,TUESWZZJYCLFNL-DAFODLJHSA-N,,
BRD-K01825165,HLVVITIHAZBPKB-NSHDSACASA-N,ACHE,
BRD-K75608666,WHSXTWFYRGOBGO-UHFFFAOYSA-N,,"CA1, CA2, CA1, CA2"
BRD-K51747290,VSNHCAURESNICA-UHFFFAOYSA-N,"RRM1, RRM2, RRM2B","RRM1, CA5A, CA9, CA2, CA4, ABCC4, ABCC3, RRM1"
BRD-K01826510,ZQDWXGKKHFNSQK-NRFANRHFSA-N,HRH1,
BRD-A24252652,GRRNUXAQVGOGFE-SIGCQSELSA-N,,
BRD-K46424862,HSHNITRMYYLLCV-UHFFFAOYSA-N,"MAOA, MAOB","CA1, CA2, CA9, CA12, HSD17B3, SORD, CA12, CA1, CA2, CA9"
BRD-K44009692,DGABKXLVXPYZII-SIBKNCMHSA-N,,"VDR, VDR, VDR, VDR, GPBAR1"
BRD-K40530731,RKUNBYITZUJHSG-FXUDXRNXSA-N,"CHRM1, CHRM2, CHRM3, CHRM4",
BRD-K29673530,BTXNYTINYBABQR-UHFFFAOYSA-N,,"ATG4B, CRHR1, CYP3A4"
BRD-A63780829,OVSQVDMCBVZWGM-FHYQVQSVSA-N,"ACE, AKR1B1",
BRD-K13881745,HNPAHGHFONBTLV-KSJQNFQUSA-N,"IKBKB, IL1B, TNF",
BRD-K03739921,FDGQSTZJBFJUBT-UHFFFAOYSA-N,PNP,
BRD-K26439554,HFYPTENHTPNXGP-UHFFFAOYSA-N,"LPAR1, LPAR3",
BRD-K08109215,AAAQFGUYHFJNHI-SFHVURJKSA-N,"BRD2, BRD3, BRD4","CREBBP, ATAD2"
BRD-K36363294,VUVUVNZRUGEAHB-CYBMUJFWSA-N,"BRD2, BRD3, BRD4","CREBBP, ATAD2, CYP2C9, CYP3A4, CYP3A4, CYP2C9, BRDT, BRDT"
BRD-K04972057,WRUWGLUCNBMGPS-UHFFFAOYSA-N,BRD9,"CREBBP, BRD7, BRD7"
BRD-K14762862,HRVWCNMOEFNEON-UHFFFAOYSA-N,,
BRD-K71698503,WNSWOZIBBVUJBI-UHFFFAOYSA-N,,
BRD-K57090026,YKNAKDFZAWQEEO-IBGZPJMESA-N,"CREBBP, EP300","CREBBP, EP300, CREBBP, CREBBP, CREBBP, CREBBP, CREBBP, CREBBP, CREBBP"
BRD-K00003105,HWJWNWZJUYCGKV-UHFFFAOYSA-N,,
BRD-K31135544,HUJXGQILHAUCCV-MOROJQBDSA-N,"ADORA1, ADORA2A, ADORA2B, ADORA3","ADORA2A, ADORA2A, ADORA3, ADORA3, ADORA3, ADORA2A, ADORA1, HTR2B, HTR2C, ADORA3, ADORA1, ADORA2A, ADORA3, ADORA1, ADORA3, ADORA3, ADORA3, ADORA3, ADORA1, HTR2C, HTR2B, ADORA2A, ADORA1, ADORA2A, ADORA3, ADORA3, ADORA3, ADORA1, ADORA3, ADORA2A, ADORA3, ADORA2A, ADORA1, ADORA2A, ADORA2A, ADORA3, ADORA3, ADORA2B, ADORA1, ADORA2A, ADORA3, ADORA3, ADORA3, ADORA3, ADORA1, ADORA2A, ADORA3, ADORA3, ADORA2A, ADORA1, ADORA2A, ADORA1, ADORA3, ADORA2A, ADORA3, ADORA3, ADORA3, ADORA1, ADORA2A, ADORA2B, ADORA3, ADORA1, ADORA2A, ADORA3, ADORA3, ADORA2B, ADORA2A, ADORA1, ADORA3, ADORA3, ADORA3, ADORA3, ADORA3"
BRD-K08681769,MPBVHIBUJCELCL-UHFFFAOYSA-N,FDPS,"GGPS1, FDPS, GGPS1, FDPS, FDPS, FDPS, FDPS, FDPS, FDPS, FDPS"
BRD-K15196155,RUTVRAJKELSHCC-UHFFFAOYSA-N,HCAR3,"HCAR2, HCAR3"
BRD-K00003408,IXZOHGPZAQLIBH-NRFANRHFSA-N,,"IL1B, TNF"
BRD-K14063023,YFHRCLAKZBDRHN-MRXNPFEDSA-N,,
BRD-K94979336,APIXJSLKIYYUKG-UHFFFAOYSA-N,"ADORA1, PDE2A, PDE3B, PDE4D, PDE5A, PDE6G, PDE7A, PDE8A, PDE9A","ADORA2A, ADORA2A, PDE5A, PDE7A, CACNA1C, PDE9A, PDE1B, ADORA1, PDE3A, PDE7A, PDE7A, SLC16A3, PDE5A, PDE5A, PDE3B, PDE8A, PDE5A, PDE3B, PDE8A, PDE5A, PDE9A, PDE9A, PDE9A, PDE9A"
BRD-A02971356,IRJCBFDCFXCWGO-SCSAIBSYSA-N,GRIN1,
BRD-K62490786,KPRTURMJVWXURQ-UHFFFAOYSA-N,LPL,
BRD-K70301465,XYFPWWZEPKGCCK-GOSISDBHSA-N,"BLK, BMX, BTK","FGFR2, BTK, ITK, BMX, TEC, EGFR, ERBB4, BLK, HCK, LYN, YES1, ABL1, PTK6, CSK, JAK3, SYK, BTK, ITK, EGFR, JAK3, BTK, ITK, BMX, TEC, EGFR, ERBB4, ERBB4, BLK, HCK, LYN, YES1, ABL1, PTK6, CSK, JAK3, SYK, BTK, ITK, EGFR, JAK3, EGFR, BTK, ITK, FGFR2, ITK, BLK, CSK, HCK, JAK3, FLT3, BTK, BTK, BTK, FGFR2, BTK, BTK, BTK, BTK, BTK, BTK, BTK, BTK, BTK, BTK, BTK, BTK, BTK, BTK, LYN, EGFR, TEC, BTK, BTK, TEC, BTK, BTK, BMX, EGFR, JAK3, BTK, BTK, EGFR, BTK, BMX, EGFR, BLK, BMX, RET, BTK, BLK, ERBB4, EGFR, BTK, BTK, RET, BMX, EPHA2, TEC, FLT3, ITK, PDGFRB, BTK, BTK, BTK, BTK, JAK3, BTK, CYP2C9, BTK, CYP3A4, BTK, BTK, CYP2C19, BTK, JAK3, BTK, BTK, BTK, BTK, BTK, BTK, EGFR, EGFR, BTK, ERBB4, EGFR, JAK3, BTK, BTK, BTK, TEC, BTK, BMX, EGFR, JAK3, BTK, ITK, BTK, BTK, ERBB4, BTK, BTK, BTK, BTK, BTK, BTK, EGFR, CDK2, EGFR, BTK, PTK6, TEC, EGFR, EGFR, ITK, EGFR, ITK, JAK3, BLK, BMX, ERBB4, FRK, BTK, JAK3, BLK, PTK6, ERBB4, TEC, BTK, BTK, TEC, BMX, FRK, TEC, BTK, ITK, ITK, EGFR, BTK, EGFR, EGFR, JAK1, JAK3, JAK2, BTK, BTK, BTK, JAK3, BTK, BTK, BTK, BTK, EGFR, ERBB4, BTK, BTK"
BRD-K16444452,ZJVFLBOZORBYFE-UHFFFAOYSA-N,"IL1B, IL6, PDE3A, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A","PDE4A, PDE5A, PDE3A, PDE4A, PDE4A"
