"DRH ID code","Outcome","MolecularWeight","MonoisotopicMass","ExactMass","XLogP","TPSA","Complexity","Charge","HBondDonorCount","HBondAcceptorCount","RotatableBondCount","HeavyAtomCount","IsotopeAtomCount","AtomStereoCount","DefinedAtomStereoCount","UndefinedAtomStereoCount","BondStereoCount","DefinedBondStereoCount","UndefinedBondStereoCount","CovalentUnitCount","Volume3D","XStericQuadrupole3D","YStericQuadrupole3D","ZStericQuadrupole3D","FeatureCount3D","FeatureAcceptorCount3D","FeatureDonorCount3D","FeatureAnionCount3D","FeatureCationCount3D","FeatureRingCount3D","FeatureHydrophobeCount3D","ConformerModelRMSD3D","EffectiveRotorCount3D","ConformerCount3D"
"BRD-K00003447","No-Effect","355.4","355.144453","355.144453","2.1","80.6","524","0","2","6","0","26","0","2","2","0","0","0","0","1","265.4","6.87","4.41","1.8","9","3","2","0","1","3","0","0.6","1.2","3"
"BRD-K61567297","No-Effect","361.8","361.0550851","361.0550851","3","80.8","560","0","1","6","6","23","0","1","1","0","0","0","0","1","258","10.43","3.71","1.14","6","3","1","0","0","2","0","0.8","6.8","10"
"BRD-K95921201","No-Effect","608.7","608.27338086","608.27338086","4","118","1000","0","1","10","10","44","0","6","6","0","0","0","0","1","455.4","29.84","3.64","1.85","16","7","1","0","2","6","0","1.2","11.6","10"
"BRD-K76210423","No-Effect","314.4","314.17427596","314.17427596","1.3","86.2","406","0","2","5","5","23","0","0","0","0","0","0","0","1","246.3","8.41","4.19","1.05","10","2","2","0","2","3","1","0.8","5","10"
"BRD-K00003123","No-Effect","435.2","434.0297083","434.0297083","2.7","136","878","0","2","7","4","29","0","0","0","0","0","0","0","1","302.5","18.55","2.59","1.47","11","5","2","0","0","3","1","0.8","4","10"
"BRD-K28822270","No-Effect","349.4","349.10962727","349.10962727","0.9","100","548","0","2","5","6","24","0","0","0","0","1","1","0","1","263.1","15.48","4.25","1.26","7","3","1","0","1","2","0","0.8","7","10"
"BRD-K74190368","No-Effect","110.11","110.03677943","110.03677943","0.8","40.5","64","0","2","2","0","8","0","0","0","0","0","0","0","1","87.1","2.47","1.67","0.59","3","0","2","0","0","1","0","0.4","0","1"
"BRD-K85603128","No-Effect","152.15","152.047344113","152.047344113","1.3","46.5","144","0","1","3","2","11","0","0","0","0","0","0","0","1","118","4.86","1.49","0.85","3","1","1","0","0","1","0","0.4","2","10"
"BRD-K80738081","No-Effect","228.24","228.078644241","228.078644241","3.1","60.7","246","0","3","3","2","17","0","0","0","0","1","1","0","1","182.8","12.88","1.74","0.72","5","0","3","0","0","2","0","0.6","2","2"
"BRD-K00003118","No-Effect","464.4","464.12830942","464.12830942","1.5","90.4","699","0","1","11","6","32","0","1","1","0","0","0","0","1","320.3","7.96","4.44","2.38","8","2","1","0","2","3","0","1.4","8.8","10"
"BRD-K33082088","No-Effect","517.8","517.32258015","517.32258015","6.1","92.1","895","0","1","6","6","36","0","10","10","0","0","0","0","1","409.6","19.82","3.64","1.84","9","3","1","0","1","3","1","1","9.2","10"
"BRD-K79884267","No-Effect","284.4","284.214015512","284.214015512","6.2","17.1","522","0","0","1","5","21","0","0","0","0","4","4","0","1","251.5","21.61","1.99","0.99","5","1","0","0","0","1","3","0.8","5.8","10"
"BRD-K22429181","No-Effect","286.5","286.229665576","286.229665576","5.7","20.2","496","0","1","1","5","21","0","0","0","0","4","4","0","1","252.6","20.86","2.07","1.11","6","1","1","0","0","1","3","0.8","5.8","10"
"BRD-K65331431","No-Effect","328.5","328.240230259","328.240230259","6.3","26.3","596","0","0","2","7","24","0","0","0","0","4","4","0","1","285","29.32","1.97","1.32","5","1","0","0","0","1","3","0.8","7.8","10"
"BRD-K80595380","No-Effect","524.9","524.45933115","524.45933115","13.6","26.3","803","0","0","2","21","38","0","0","0","0","4","4","0","1","","","","","","","","","","","","","","0"
"BRD-A68281735","No-Effect","335.4","335.18852904","335.18852904","5.2","42.4","375","0","1","3","8","25","0","1","1","0","0","0","0","1","277.4","18.77","4.39","1.51","9","3","1","0","0","3","2","1.4","8","10"
"BRD-A51497544","No-Effect","362.4","362.19067491","362.19067491","5.3","41","481","0","1","5","3","27","0","1","1","0","0","0","0","1","287.9","12.73","4.7","1.26","6","0","1","0","1","4","0","0.8","3.8","10"
