broad_id,InChIKey,Target,TTD Target
BRD-K49554218,XGHOVGYJHWQGCC-UHFFFAOYSA-N,HRH1,
BRD-K15179879,BLMPQMFVWMYDKT-NZTKNTHTSA-N,"PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9","PSMB5, PSMB9, KCNH2, CTSG, PSMB10, CTSA, CTSB, PSMB8, CYP2D6, GSTO1, CYP2C9"
BRD-K60240222,LCQLHJZYVOQKHU-VKHMYHEASA-N,CPS1,
BRD-K90215590,WEJRSYKFMCUCRQ-UHFFFAOYSA-N,NQO2,
BRD-K21670884,IWXNYAIICFKCTM-UHFFFAOYSA-N,SLC9A1,"SLC9A1, SLC9A3"
BRD-K57764956,KPWSJANDNDDRMB-QAQDUYKDSA-N,"DRD2, DRD3",
BRD-K11630072,AOCCBINRVIKJHY-UHFFFAOYSA-N,TYMS,
BRD-K25095405,IHOXNOQMRZISPV-YJYMSZOUSA-N,ADRB2,
BRD-K82484965,AFSOIHMEOKEZJF-UHFFFAOYSA-N,DRD2,
BRD-K36234266,IIJOAQBKDPUMEO-UHFFFAOYSA-N,GSR,
BRD-A89594340,PHIQHXFUZVPYII-LURJTMIESA-O,,
BRD-A96051074,CQOVPNPJLQNMDC-ZETCQYMHSA-N,,
BRD-K70161083,MSPRUJDUTKRMLM-UHFFFAOYSA-N,,
BRD-K92129045,KYCBWEZLKCTALM-UHFFFAOYSA-N,"MAOA, MAOB",
BRD-A17411484,PUXBGTOOZJQSKH-MRVPVSSYSA-N,PTGS2,
BRD-K13238618,OAYRYNVEFFWSHK-UHFFFAOYSA-N,,
BRD-A42167015,LWAFSWPYPHEXKX-UHFFFAOYSA-N,"ADRB1, ADRB2, ADRB3","ADRB1, ABCB11"
BRD-K71026158,UIMOJFJSJSIGLV-JNHMLNOCSA-N,,
BRD-K01826535,OGHNVEJMJSYVRP-QGZVFWFLSA-N,"ADRB1, ADRB2, ADRB3",
BRD-K09295674,UCAGLBKTLXCODC-UHFFFAOYSA-N,"CA1, CA12, CA14, CA2, CA6, CA9",
BRD-K12413266,XMCJWIFCIIXRGI-BAEVKLAGSA-N,,
BRD-A25043798,RXIUMAOXORBRCY-IBGZPJMESA-N,CDC42,
BRD-K00002625,JYIKNQVWKBUSNH-WVDDFWQHSA-N,,
BRD-K20897876,JDVVGAQPNNXQDW-TVNFTVLESA-N,"GAA, GBA",
BRD-K92377961,CMKFQVZJOWHHDV-NQZBTDCJSA-N,,
BRD-K40269473,MZRVIHRERYCHBL-HNNXBMFYSA-N,"CTSB, CTSL, CTSV",
BRD-K40366680,UFBTYTGRUBUUIL-KPKJPENVSA-N,PIK3CG,
BRD-K41779183,GPNHMOZDMYNCPO-PDUMRIMRSA-N,AR,
BRD-K59929863,GUAZPUYTLMUTMA-ZHACJKMWSA-N,,
BRD-K49048664,RDALZZCKQFLGJP-UHFFFAOYSA-N,VCP,"PRKDC, VCP"
BRD-K58070273,PRAAPINBUWJLGA-UHFFFAOYSA-N,GLS,
BRD-K34675210,HDVYXILCBYGKGU-UHFFFAOYSA-N,GRM2,
BRD-K00003273,JKCSODVERGVDLT-UHFFFAOYSA-N,,
BRD-K91874254,ZOBKPJRHDMKXQG-UHFFFAOYSA-N,ALOX5,
BRD-K16755045,GMYLVKUGJMYTFB-UHFFFAOYSA-N,MTOR,"KCNH2, ATM, PRKDC, MTOR-RPTORA-MLST8-KT1S1-DEPTOR, PIK3CA, MTOR, CSF1R"
BRD-K88737571,UFKLYTOEMRFKAD-SHTZXODSSA-N,MTOR,
BRD-K00004320,XDJCLCLBSGGNKS-UHFFFAOYSA-N,MAPK8,"MELK, MELK"
BRD-K00003116,ILUKRINUNLAVMH-UHFFFAOYSA-N,,
BRD-K48213016,IBGLGMOPHJQDJB-IHRRRGAJSA-N,,
BRD-A79726147,DSMXVSGJIDFLKP-SECBINFHSA-N,"RHOC, SRF",
BRD-K08893438,QUIIIYITNGOFEI-UHFFFAOYSA-N,"RGS4, RGS8",
BRD-K26970495,VFSVKVQMZDJFQX-NBVRZTHBSA-N,RGS4,
BRD-K68474505,IPZHFKHGSYRBNT-DTQAZKPQSA-N,RGS4,
BRD-K16338837,VMAKIACTLSBBIY-UHFFFAOYSA-N,CHRNA7,
BRD-K06159959,IFXJDEHFADWURH-UHFFFAOYSA-N,,
BRD-K90999434,JPCYSKNELCOPKJ-UHFFFAOYSA-N,CTNNB1,
BRD-K65503129,OWPMENVYXDJDOW-UHFFFAOYSA-N,"HSP90AA1, HSP90AB1",HSP90AA1
BRD-K76406695,RZIDZIGAXXNODG-UHFFFAOYSA-N,,
BRD-K57136142,QYKHWEFPFAGNEV-UHFFFAOYSA-N,"AURKA, AURKB, AURKC",
BRD-K03289018,GFLQCBTXTRCREJ-UHFFFAOYSA-N,"AURKA, AURKB, AURKC",
BRD-K00005244,KYYKGSDLXXKQCR-UHFFFAOYSA-N,,
BRD-K00003276,YBYYWUUUGCNAHQ-LLVKDONJSA-N,,
BRD-K17751100,LEXDAVFCJPDCNA-VNTMZGSJSA-N,CHRNB2,
BRD-K09619322,VCQGNUWOMLYNNG-UHFFFAOYSA-N,RARG,
BRD-K28907958,LDGIHZJOIQSHPB-UHFFFAOYSA-N,RARG,
BRD-A08079565,WHGYBXFWUBPSRW-GUJBRCDDSA-N,,
BRD-K87932577,DWHVZCLBMTZRQM-UHFFFAOYSA-N,"CDK1, CDK5, GSK3B","EIF2AK2, CDK9-CCNT1, EIF2AK2, GSK3B"
BRD-K43914553,XWQVQSXLXAXOPJ-ACRUOGEOSA-N,CDK9,
BRD-K02213468,BKUIZWILNWHFHD-UHFFFAOYSA-N,GRM5,
BRD-K48141473,CSMVOZKEWSOFER-RQNOJGIXSA-N,"OPRL1, OPRM1",
BRD-K86930074,XXJWYDDUDKYVKI-UHFFFAOYSA-N,"CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB","KDR, FLT1, FLT4"
BRD-A61188230,SVURIXNDRWRAFU-OBORUHMCSA-N,,
BRD-K96362839,SVURIXNDRWRAFU-OGMFBOKVSA-N,,
BRD-K20338176,QYIYFLOTGYLRGG-GPCCPHFNSA-N,,"ABCC4, SLC22A8, ABCC2, ABCB11, SLC15A2, SLC15A1"
BRD-K63242551,BOEGTKLJZSQCCD-UEKVPHQBSA-N,"SLC15A1, SLC15A2, SLC22A6, SLC22A8",
BRD-K15514357,FMZXNVLFJHCSAF-DNVCBOLYSA-O,,
BRD-K27130738,OLVCFLKTBJRLHI-AXAPSJFSSA-N,,
BRD-K17903788,RRJHESVQVSRQEX-SUYBPPKGSA-N,,
BRD-K63835048,JYXACOFERDBGGQ-RHSMWYFYSA-N,,
BRD-K99750640,MLYYVTUWGNIJIB-BXKDBHETSA-N,PON1,
BRD-K27515606,WVPAABNYMHNFJG-QDVBXLKVSA-N,,
BRD-K15766189,RTXOFQZKPXMALH-GHXIOONMSA-N,MPO,
BRD-K72167406,AFZFFLVORLEPPO-UVYJNCLZSA-N,,
BRD-A12077521,HVFLCNVBZFFHBT-FKULVZFESA-O,,
BRD-K27798832,MQLRYUCJDNBWMV-GHXIOONMSA-N,,
BRD-K21372554,DASYMCLQENWCJG-XUKDPADISA-N,,
BRD-K00003257,DBPPRLRVDVJOCL-FQRUVTKNSA-O,,
BRD-K71059170,OKBVVJOGVLARMR-QSWIMTSFSA-N,,"ABCC4, ABCC2, ABCB11, SLC15A2, SLC15A1"
BRD-K00003661,HJJDBAOLQAWBMH-YCRCPZNHSA-N,,
BRD-K48470486,SNBUBQHDYVFSQF-HIFRSBDPSA-N,,"IDE, SLC15A2, SLC15A1"
BRD-K77073709,JSDXOWVAHXDYCU-VXSYNFHWSA-N,,
BRD-K22641081,XDZKBRJLTGRPSS-BGZQYGJUSA-N,,
BRD-K34058848,DYAIAHUQIPBDIP-AXAPSJFSSA-N,,
BRD-K02292852,GCFBRXLSHGKWDP-XCGNWRKASA-N,,
BRD-K37848908,SLAYUXIURFNXPG-CRAIPNDOSA-N,,
BRD-K72339976,ZINFAXPQMLDEEJ-GFVOIPPFSA-N,,
BRD-K78364995,GPRBEKHLDVQUJE-QSWIMTSFSA-N,,
BRD-A78723049,SRZNHPXWXCNNDU-IXOPCIAXSA-N,,
BRD-K02275692,QYQDKDWGWDOFFU-IUODEOHRSA-N,,
BRD-A76661185,VVFDMWZLBPUKTD-XLHILCRZSA-N,,
BRD-K70976396,WZOZEZRFJCJXNZ-ZBFHGGJFSA-N,,
BRD-K46970505,QDUIJCOKQCCXQY-WHJQOFBOSA-O,,
BRD-K92872987,PWAUCHMQEXVFJR-PMAPCBKXSA-N,,
BRD-K56542719,DKOQGJHPHLTOJR-PUIFZAHNSA-O,,
BRD-A34205213,LTINZAODLRIQIX-OLEGMKQCSA-N,,
BRD-K24871708,WDLWHQDACQUCJR-ZAMMOSSLSA-N,,
BRD-K13797099,RDLPVSKMFDYCOR-UEKVPHQBSA-N,CYP3A4,
BRD-K03907181,SYLKGLMBLAAGSC-QLVMHMETSA-O,,
BRD-K37252028,ZCCUWMICIWSJIX-XHNDKCDBSA-O,,
BRD-K52117081,ORFOPKXBNMVMKC-DWVKKRMSSA-O,,
BRD-K11124378,UNJFKXSSGBWRBZ-BJCIPQKHSA-N,,
BRD-K82960980,ZBHXIWJRIFEVQY-IHMPYVIRSA-N,,
BRD-K04301924,NNULBSISHYWZJU-LLKWHZGFSA-N,,
BRD-K00003117,VOAZJEPQLGBXGO-SDAWRPRTSA-N,,
BRD-K96734425,VAAUVRVFOQPIGI-SPQHTLEESA-N,,"DAO, CYP3A4, CYP2D6, SLC15A1, CYP2C9"
BRD-K02733959,JFPVXVDWJQMJEE-IZRZKJBUSA-N,,
BRD-A22303829,KEJCWVGMRLCZQQ-QFDKGRJDSA-N,,
BRD-K02637541,RZEKVGVHFLEQIL-UHFFFAOYSA-N,"CA12, PDPK1, PTGS2","CA6, PTGS1; PTGS2, CA7, ABCC4, ALOX5, CA9, Trypano CYSP, CA4, ABCC2, PDPK1, HDAC1, ABCB11, HDAC6, PTGES, EPHX2, PTGS1, CYP2C9, CA2, CA12, Stap-coc norA, PTGS2, MAPK14, CA1, CA14"
BRD-K00003204,HTJGLYIJVSDQAE-VWNXEWBOSA-N,,
BRD-A95602221,JOATXPAWOHTVSZ-INIZCTEOSA-N,"ADRA2A, ADRB1, ADRB2",
BRD-K00003248,KJKKMMMRWISKRF-FQEVSTJZSA-N,,
BRD-K00003181,PNDKCRDVVKJPKG-WHERJAGFSA-N,,"CCR2, CCR5, CCR7"
BRD-K00003249,GFHAXPJGXSQLPT-VIFPVBQESA-N,,
BRD-K00004588,HKHCSWPSUSWGLI-CABCVRRESA-N,,
BRD-K31329721,CZXUQBVMAUWSBX-UHFFFAOYSA-N,,
BRD-K00004619,UJNWGFBJUHIJKK-UHFFFAOYSA-N,,
BRD-A28958257,ZQPXSRTZFYHSFB-FQEVSTJZSA-N,,
BRD-K20722021,DKNUPRMJNUQNHR-UHFFFAOYSA-N,"BRAF, RAF1","SMO, BRAF, CYP3A4, CYP2D6, CYP2C9"
BRD-K37237504,RFZKSQIFOZZIAQ-UHFFFAOYSA-N,JAK2,
BRD-K72827473,BCSHRERPHLTPEE-NRFANRHFSA-N,ALK,"KCNH2, CYP3A4, PTK2, ALK, CYP2D6, INSR, CYP2C9"
BRD-K00003396,FKCWHHYUMFGOPY-UHFFFAOYSA-N,,
BRD-K90733503,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,,
BRD-K68904758,DBXFAPJCZABTDR-WBYYIXQISA-N,,
BRD-K00025564,TVMXJQZBKOMFQK-JFEXGKLBSA-L,,
BRD-K28210218,XIURVHNZVLADCM-IUODEOHRSA-N,,
BRD-K49880111,UQLLWWBDSUHNEB-CZUORRHYSA-N,,SLC15A1
BRD-K96194081,YVPXVXANRNDGTA-WDYNHAJCSA-N,,
BRD-A90807417,RDLPVSKMFDYCOR-HFAKWTLXSA-N,,
BRD-K41707108,BLTCBVOJNNKFKC-QUDYQQOWSA-N,,
BRD-K22149900,VERWOWGGCGHDQE-UHFFFAOYSA-N,"ALK, FLT3, IGF1R, INSR, TSSK1B","KCNH2, NTRK2, LCK, SYK, ABL1, PDGFRA, ROCK2, KDR, LYN, MKNK2, JAK3, ALK, EGFR, INSR, ROS1, RET, IGF1R, JAK1, ABCB1, KIT, CDK4, SRC, EGFR, NTRK1, ZAP70, FGR, PAK2, BTK, CDK2, FGFR2, FGFR3, JAK2, GSK3B, MET, FGFR4, FLT3"
BRD-K52075040,GVEZIHKRYBHEFX-NQQPLRFYSA-N,FASN,"FASN, F13A1"
BRD-K00003320,YRALAIOMGQZKOW-HYAOXDFASA-N,CCKAR,
BRD-K86954340,QXWKHSSBFQDQPR-UHFFFAOYSA-N,PPARA,
BRD-K94863486,MVCQKIKWYUURMU-UHFFFAOYSA-N,PNLIP,
BRD-K01826520,ZKLPARSLTMPFCP-NRFANRHFSA-N,HRH1,
BRD-K47079459,RLGQACBPNDBWTB-UHFFFAOYSA-N,,
BRD-K76315403,SBNPWPIBESPSIF-MHWMIDJBSA-N,"GNRHR, LHCGR",
BRD-K87700323,NEUSVAOJNUQRTM-UHFFFAOYSA-N,,
BRD-K00004291,WUTYZMFRCNBCHQ-WPRPVWTQSA-N,CHRM3,
BRD-K00003570,ZUZPCOQWSYNWLU-VIFPVBQESA-N,TUBB,
BRD-A47940219,ZZLQPWXVZCPUGC-LURJTMIESA-N,RAPGEF3,
BRD-K27040396,DADASRPKWOGKCU-FVTQAUBDSA-N,,
BRD-K00003409,PMQUGSPFUBGJCZ-CHOKWEPUSA-N,,
BRD-K64341947,YZCSJBGQLATPMH-UHFFFAOYSA-N,,
BRD-K42859542,MJKADKZSYQWGLL-UHFFFAOYSA-N,,
BRD-K72004355,JIMHYXZZCWVCMI-RIYZIHGNSA-N,CFTR,
BRD-K52396582,IPSYPUKKXMNCNQ-PFHKOEEOSA-N,"ADORA1, ADORA2A, ADORA2B, ADORA3","HTR2B, PPARG, ADORA2B, ADORA2A, PPARD, HTR2C, HTR2A, ADORA3, ADORA1"
BRD-K48888725,YCLREGRRHGLOAK-UHFFFAOYSA-N,,
BRD-K82028950,BEPGKLOHQTXUHX-UHFFFAOYSA-N,"ADORA1, ADORA2B, ADORA3",
BRD-A50737080,HLCDNLNLQNYZTK-OAQYLSRUSA-N,"ATM, ATR",
BRD-K79584249,CLRSLRWKONPSRQ-IIPSPAQQSA-N,MDM2,
BRD-A40084411,UMQUQWCJKFOUGV-SECBINFHSA-N,"ADRB1, ADRB2, ADRB3",
BRD-K95851186,XGWATTXMMMANFJ-UHFFFAOYSA-N,GABBR1,
BRD-K01827291,VFPOVCXWKBYDNF-XFULWGLBSA-N,"ADRB1, ADRB3",
BRD-K00003372,JEMKCYHUYUPGFN-UHFFFAOYSA-N,,
BRD-A35623999,KQEPIRKXSUIUTH-HNNXBMFYSA-N,SLC8A1,
BRD-A90272038,BDYHNCZIGYIOGJ-XWCPEMDWSA-N,"GRIN2A, GRIN2B, GRIN2C, GRIN2D",
BRD-K00004626,OKDOWCKDTWNRCB-PTYLAXBQSA-N,,
BRD-K13087974,AAALVYBICLMAMA-UHFFFAOYSA-N,EGFR,"APP, EGFR, SRC, EGFR"
BRD-K32292990,RONQPWQYDRPRGG-UHFFFAOYSA-N,"EGFR, PRKCB",
BRD-A74208568,JGGVBBYJRQOPPA-BBRMVZONSA-N,"GABBR1, GABBR2, KCTD12, KCTD16, KCTD8",
BRD-K00004232,ZODSPDOOCZZEIM-BBRMVZONSA-N,"GABBR1, GABBR2, KCTD12, KCTD16, KCTD8",
BRD-K42500029,UQPMANVRZYYQMD-UHFFFAOYSA-N,"AURKB, LCK, MKNK1, MKNK2, SGK1","DYRK3, MKNK2, EIF2AK2, CSNK1D, AURKB, CDK9-CCNT1, MKNK1, EIF2AK2, SGK1, BRSK2"
BRD-K79090631,IYNDTACKOAXKBJ-UHFFFAOYSA-N,"CDK1, CDK2","CDK9-CCNT1, MTOR, CDK2, CDK1"
BRD-K34321528,UULIGRNKXHCLQN-WGSAOQKQSA-N,NPY5R,
BRD-K56239177,UTBSBSOBZHXMHI-LSDHHAIUSA-N,CDK1,"CLK2, PDGFRA, EGFR, EIF2AK2, CLK1, CDK9-CCNT1, PRKCA, CLK3, EIF2AK2, EGFR, CDK1, CLK4"
BRD-K60946979,DPFHVUSPVHRVFL-YFKPBYRVSA-N,,
BRD-K65786282,XLWJPQQFJNGUPA-UHFFFAOYSA-N,GABBR1,
BRD-K49049886,MSJODEOZODDVGW-UHFFFAOYSA-N,"ADORA1, ADORA2A, ADORA2B, ADORA3",
BRD-K68103045,UBLXQFIFWUEVGJ-UHFFFAOYSA-N,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6",
BRD-K27176996,PAOANWZGLPPROA-RQXXJAGISA-N,"ADORA1, ADORA2A, ADORA2B, ADORA3",
BRD-K54093161,QCBUAKLOWCOUCR-UHFFFAOYSA-N,"GABRA1, GABRB2, GABRG2",
BRD-K24820488,JBXSBZBZASARMY-UHFFFAOYSA-N,,
BRD-K11683436,BEMNJULZEQTDJY-UHFFFAOYSA-N,"FGFR1, FGFR2, FGFR3","KCNH2, KDR, FGFR1, SRC, FGFR2, FGFR3, FGFR4"
BRD-K60302405,AFVLVVWMAFSXCK-VMPITWQZSA-N,SLC16A1,
BRD-K18135438,RUDATBOHQWOJDD-BSWAIDMHSA-N,"HSD11B1, NR1H4","GPBAR1, ABCB11, NR1H4, VDR"
BRD-K34508702,LIYLTQQDABRNRX-UHFFFAOYSA-N,PSEN1,"APP, CYP3A4, CYP2C9, APH1A; APH1B; NCSTN; PSENEN; PSEN1, BACE2; PSENEN; APH1A; APH1B"
BRD-K56483981,BGULJNMSWJQIEK-UHFFFAOYSA-N,MIF,
BRD-K28537285,WXHHICFWKXDFOW-BJMVGYQFSA-N,"HDAC10, HDAC3",
BRD-K52284881,ZBJWWKFMHOAPNS-UHFFFAOYSA-N,,
BRD-K02241333,MOVBBVMDHIRCTG-LJQANCHMSA-N,CHEK1,
BRD-K42973005,MDZCSIDIPDZWKL-UHFFFAOYSA-N,"GSK3A, GSK3B","AKT1, KDR, FLT1, INSR, FGFR1, IGF1R, TEK, CHEK1, MAPK1, CDK1, GSK3A, GSK3B, CSNK1E"
BRD-K16189898,AQGNHMOJWBZFQQ-UHFFFAOYSA-N,"CDK1, GSK3A, GSK3B, MAPK1","AKT1, KDR, FLT1, PDPK1, INSR, FGFR1, IGF1R, TEK, CHEK1, PRKCZ, MAPK1, CDK1, GSK3A, GSK3B, CSNK1E"
BRD-K00004971,OJYGBLRPYBAHRT-IPQSZEQASA-N,,
BRD-K29458283,JCKYGMPEJWAADB-UHFFFAOYSA-N,,"ABCC4, SLCO1B3, CA9, ABCC2, CYP2D6, ABCB11, CA2, CA12, CA1"
BRD-K93546328,NXTVQNIVUKXOIL-UHFFFAOYSA-N,,
BRD-K08111712,WIIZWVCIJKGZOK-RKDXNWHRSA-N,CD55,
BRD-K33742430,PXKHGMGELZGJQE-ILBGXUMGSA-N,,
BRD-K25209357,LIRCDOVJWUGTMW-ZWNOBZJWSA-N,,
BRD-K21452876,YRZQHIVOIFJEEE-UHFFFAOYSA-N,,
BRD-A57133233,WFNAKBGANONZEQ-SFHVURJKSA-N,,
BRD-K89409436,RZXLPPRPEOUENN-UHFFFAOYSA-N,,
BRD-K52256627,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,,"MMP2, GSR, SLC47A2, MMP9, SLC47A1, SLC22A3"
BRD-K01653460,ATAJVFBUUIBIEO-UHFFFAOYSA-N,,
BRD-K61802864,NJDUWAXIURWWLN-UHFFFAOYSA-N,,
BRD-K18030938,IXWDUZLHWJKVPX-UHFFFAOYSA-N,CHRNA1,
BRD-K38704569,QMBJSIBWORFWQT-DFXBJWIESA-N,PGR,
BRD-A20348246,WEQAYVWKMWHEJO-LLVKDONJSA-N,GABRA1,
BRD-K60443845,WNAQOLSMVPFGTE-UHFFFAOYSA-N,,
BRD-K39495750,OSASVXMJTNOKOY-UHFFFAOYSA-N,,
BRD-K89056082,CFKMVGJGLGKFKI-UHFFFAOYSA-N,,
BRD-K47114202,CWVRJTMFETXNAD-JUHZACGLSA-N,SLC37A4,"APP, SLC37A4, PTPN1, AKR1B1"
BRD-K23728266,HZDQUOWQHHSPIE-HASICPNOSA-N,,
BRD-A92960111,ZDOYGJNADZJRFB-PVMVIUQGSA-L,,
BRD-K86864073,VDANGULDQQJODZ-UHFFFAOYSA-N,"ATP1A1, CHRNA10, GRIN3A, HTR3A, SCN10A, SLC6A3",
BRD-K83257731,ICKFFNBDFNZJSX-UHFFFAOYSA-N,HRH1,
BRD-A91699651,WHTVZRBIWZFKQO-CQSZACIVSA-N,MRGPRX1,
BRD-K88682005,JBMKAUGHUNFTOL-UHFFFAOYSA-N,"CA1, CA2, CA4, SLC12A3",
BRD-K04358951,KFZXVMNBUMVKLN-UHFFFAOYSA-N,,
BRD-K27062708,BFPSDSIWYFKGBC-UHFFFAOYSA-N,"ESR1, ESR2",
BRD-K17075857,WDFKMLRRRCGAKS-UHFFFAOYSA-N,OPRK1,"ALOX5, ALOX12, NR1I2, ALOX15"
BRD-K83335125,XMFXTXKSWIDMER-UHFFFAOYSA-N,,
BRD-K17223896,OSDLLIBGSJNGJE-UHFFFAOYSA-N,,
BRD-K01826567,SOYKEARSMXGVTM-HNNXBMFYSA-N,,
BRD-A92262698,MXOAEAUPQDYUQM-MRVPVSSYSA-N,,
BRD-K00003537,KKHPNPMTPORSQE-SFHVURJKSA-N,,
BRD-A39230911,SKPLBLUECSEIFO-QMMMGPOBSA-N,,
BRD-K25494650,ISZNZKHCRKXXAU-UHFFFAOYSA-N,DHFR,
BRD-K89997465,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CALM1, CHRM1, CHRM3, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HRH4, HTR1A, HTR2A, HTR2B, HTR2C, HTR6, HTR7, KCNH2, ORM1, ORM2, SMPD1, TRPC5","HTR7, KCNH2, DRD5, HTR6, HTR1A, ABCC4, DRD3, CYP3A4, DRD2, HTR2B, DRD4, HRH1, CHRM1, ABCC2, SLC6A4, CYP2D6, AOX1, ABCB11, ABCB1, HRH3, HTR2C, HTR2A, PRNP, CYP2C9, DRD1, CHRM4"
BRD-K97746869,RKWGIWYCVPQPMF-UHFFFAOYSA-N,"ABCC8, KCNJ10","ABCC4, ABCC2, ABCB11, CYP51A1"
BRD-K59590127,CWJSHJJYOPWUGX-UHFFFAOYSA-N,,
BRD-K36207157,WSPOMRSOLSGNFJ-AUWJEWJLSA-N,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, HRH1, HTR2A, HTR2B, HTR2C","DRD5, HTR6, DRD3, DRD2, HRH1, ABCB11, HRH3, DRD1"
BRD-K08303368,SBPBAQFWLVIOKP-UHFFFAOYSA-N,ACHE,
BRD-K90374350,GPTXWRGISTZRIO-UHFFFAOYSA-N,,
BRD-K00003353,RNPLSXLZRGPQCU-YPOKJENWSA-N,,
BRD-A26384407,JIVPVXMEBJLZRO-AWEZNQCLSA-N,"CA1, CA12, CA14, CA2, CA4, CA7, SLC12A1",
BRD-K98174813,TZFWDZFKRBELIQ-UHFFFAOYSA-N,"KCNMA1, KCNN4","ABCC4, NOS1, NOS2, ABCC2, NOS3, ABCB11"
BRD-K62779383,QYSXJUFSXHHAJI-YRZJJWOYSA-N,VDR,"GLRA1, VDR"
BRD-K19338361,HVYWMOMLDIMFJA-DPAQBDIFSA-N,RORA,"POLA1, TOP2A; TOP2B, CYP51A1, RORC"
BRD-K43164539,BHQCQFFYRZLCQQ-OELDTZBJSA-N,"ADH1C, CES1, COX4I1, COX5A, COX5B, COX6A2, COX6B1, COX6C, COX7A1, COX7B, COX7C, COX8A, ESRRG, FABP6, FECH, GPBAR1, MT-CO1, MT-CO2, MT-CO3, PLA2G1B",
BRD-K77300776,OEYIOHPDSNJKLS-UHFFFAOYSA-N,"ACHE, BCHE, CHRNA2, PCYT1A, PCYT1B, PHOSPHO1, PLD1, PLD2",
BRD-K00003587,SUHOQUVVVLNYQR-MRVPVSSYSA-O,,
BRD-A19381518,UNIDAFCQFPGYJJ-SSDOTTSWSA-N,GRM5,
BRD-K76259716,CZZCAOGIEGXMBZ-UHFFFAOYSA-N,GSG2,
BRD-M02075109,VCIPBXUEKWCJAU-DZYJZKBLSA-N,,
BRD-K27911943,HVSJHHXUORMCGK-UONOGXRCSA-N,,
BRD-K01029106,CBDQOLKNTOMMTL-UHFFFAOYSA-K,,
BRD-K94720315,RVMGXWBCQGAWBR-UHFFFAOYSA-N,,
BRD-K22861715,RTIXKCRFFJGDFG-UHFFFAOYSA-N,"AKR1B1, CDK6, CYP19A1, CYP1B1","ABCG2, PSMB5, CYP19A1, LCK, CA7, CDK6, CYP3A4, GLO1, CA9, CA4, CYP2D6, CYP1B1, XDH, CYP2B6, CYP2C9, CA2, AKR1B1, CA12, CYP2A6, Malaria fabG, PTGS2, CA1, FLT3, CBR1"
BRD-K59284035,LQGUBLBATBMXHT-UHFFFAOYSA-N,"EGFR, MTOR",
BRD-K25691735,FINHMKGKINIASC-UHFFFAOYSA-N,,
BRD-K22314899,LKTNEXPODAWWFM-GHVJWSGMSA-N,AHR,
BRD-K28352084,JEGHXKRHKHPBJD-UHFFFAOYSA-N,"MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG",
BRD-K71487808,FOUVTBKPJRMLPE-FMIVXFBMSA-N,"RARA, RARB",
BRD-K83022601,KDGUIKPOZGYLQJ-UHFFFAOYSA-N,,
BRD-A50016482,MJRICTKAEYTJAV-LBPRGKRZSA-N,,
BRD-K00004748,ZSBWDKCIIZYQIR-UHFFFAOYSA-N,,
BRD-K67680372,CMHQDSBIBSKHFP-UHFFFAOYSA-N,SLC6A1,
BRD-K88544581,WAFNZAURAWBNDZ-UHFFFAOYSA-N,"ACAT1, CES1",
BRD-K01423020,PODBBOVVOGJETB-UHFFFAOYSA-N,,
BRD-K58736316,PFTAWBLQPZVEMU-DZGCQCFKSA-N,PTGS1,"XDH, PTGS1, F2, PTGS2"
BRD-A20742938,IPOBOOXFSRWSHL-INIZCTEOSA-N,,
BRD-K35245662,LUKZNWIVRBCLON-GXOBDPJESA-N,"NR3C1, SERPINA6",
BRD-K13044802,SCKYRAXSEDYPSA-UHFFFAOYSA-N,ATP1A1,"IDH1, ABCC4, ABCB11, SLC47A1"
BRD-A94965935,LRXFKKPEBXIPMW-SNVBAGLBSA-N,"PTGS1, PTGS2",
BRD-K00004311,VGUQVYZXABOXCX-QHCPKHFHSA-N,GPR55,
BRD-K92781136,XQJWTJLJEYIUDZ-UHFFFAOYSA-N,PKD1,
BRD-K06405316,CYNLZIBKERMMOA-AWQFTUOYSA-N,GPR35,
BRD-A08840375,BJJVCNWHNQAAGB-HMMYKYKNSA-N,MAPK3,
BRD-K96153583,VWFCHDSQECPREK-LURJTMIESA-N,,
BRD-A93000692,YZFWTZACSRHJQD-OAHLLOKOSA-N,PPARG,
BRD-K85518562,DHSUYTOATWAVLW-WFVMDLQDSA-N,DPEP1,
BRD-K96177243,HHHKFGXWKKUNCY-FHWLQOOXSA-N,ACE,
BRD-K57252450,AMLYAMJWYAIXIA-VWNVYAMZSA-N,"ITGAV, ITGB3","ITGA5-ITGB1, ITGA2B; ITGB3, ITGAV-ITGB3, ITGAV-ITGB6, ITGAV-ITGB5"
