broad_id,InChIKey,Target,TTD Target
BRD-K37714784,FRPJGTNLZNXQEX-UHFFFAOYSA-N,DRD4,"HTR1A, DRD2, DRD4"
BRD-K56301217,HPLNQCPCUACXLM-PGUFJCEWSA-N,"BCL2, BCL2L1, BCL2L2","BCL2A1, BCL2, BCL2L1, MCL1, BCL2L2"
BRD-K91623615,URCVCIZFVQDVPM-UHFFFAOYSA-N,TUBB,
BRD-K00004603,SQZJGTOZFRNWCX-UHFFFAOYSA-N,,"PLA2G7, ABHD6, CYP3A4, CYP2D6, MGLL, CYP2C9"
BRD-K00003394,OZOGDCZJYVSUBR-UHFFFAOYSA-N,,
BRD-K53788420,HSMUKSLNDJOZQG-UHFFFAOYSA-N,ESR2,
BRD-K31144453,HSAOETBFVAWNRP-UHFFFAOYSA-N,RARB,
BRD-K81548480,RQKXQCSEZPQBNZ-QSBCOWLBSA-N,F2RL1,
BRD-A27911617,UCUHFWIFSHROPY-SQEMJAKJSA-N,PARP2,
BRD-K93176058,HXBKPYIEQLLNBK-UHFFFAOYSA-N,"RARA, RARB","RARB, RARA"
BRD-K15819326,JVCWPUFNLFSKFS-UHFFFAOYSA-N,"CSF1R, FLT3, KIT, PDGFRA, PDGFRB","PDGFRA, CYP3A4, CYP2D6, KIT, CYP2C9, CSF1R, FLT3"
BRD-A49544621,HIVBATDUVFEJFZ-IBGZPJMESA-N,UTS2R,
BRD-K53448858,RTRQQBHATOEIAF-UUOKFMHZSA-N,,
BRD-K64034691,WDENQIQQYWYTPO-IBGZPJMESA-N,BTK,
BRD-K92517771,DOCINCLJNAXZQF-LBPRGKRZSA-N,"PIK3CB, PIK3CD",
BRD-K26262077,AFCGFAGUEYAMAO-UHFFFAOYSA-N,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5",
BRD-K44276885,XUFXOAAUWZOOIT-SXARVLRPSA-N,"AMY2A, MGAM",
BRD-K68633617,RNGRUHWJJPTYNR-UHFFFAOYSA-N,GRM5,
BRD-K00003255,GERJIEKMNDGSCS-DQEYMECFSA-N,,
BRD-A29260609,GOEMGAFJFRBGGG-UHFFFAOYSA-N,ADRB1,
BRD-K07753030,KEECCEWTUVWFCV-UHFFFAOYSA-N,SCN5A,"KCNH2, ABCC4, ABCC2, ABCB11"
BRD-K01825000,WRJPSSPFHGNBMG-VIFPVBQESA-N,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",
BRD-K68538666,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,PTGS2,"ABCC4, TTR, ABCB11"
BRD-K97417064,AMTPYFGPPVFBBI-UHFFFAOYSA-N,,
